bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",10.0,0.5393011124649423,0.5161126460197567,-0.25,8.375,10.0,0.0,57.5,50.625,108.125,12.725694444444445
"(0.55, 0.6]",10.0,0.4751460761923508,0.5645950666676661,-0.14285714285714285,5.857142857142857,10.0,0.0,42.285714285714285,23.0,65.28571428571429,10.53231292517007
"(0.6, 0.65]",10.0,0.5006104792571373,0.6208537542881553,-0.07692307692307693,7.384615384615385,10.0,0.0,45.38461538461539,21.846153846153847,67.23076923076923,8.547172912557528
"(0.65, 0.7]",10.0,0.5265760300639111,0.6752968202201772,-0.5,7.875,10.0,0.0,53.75,26.25,80.0,9.383802655677655
"(0.7, 0.75]",10.0,0.4660282700940361,0.7246985499967546,0.06666666666666667,5.6,10.0,0.0,44.8,10.466666666666667,55.266666666666666,9.264179894179895
"(0.75, 0.8]",10.0,0.47595874630678975,0.7776744075838686,0.5555555555555556,6.111111111111111,10.0,0.0,65.66666666666667,10.666666666666666,76.33333333333333,12.19973544973545
"(0.8, 0.85]",10.0,0.5091272824412343,0.8282257850796103,0.25,6.125,10.0,0.0,67.125,9.125,76.25,12.470102813852813
"(0.85, 0.9]",10.0,0.5214226276300941,0.8655108969631818,0.3333333333333333,5.833333333333333,10.0,0.0,71.5,6.833333333333333,78.33333333333333,13.263492063492064
"(0.9, 0.95]",10.0,0.523222530212953,0.9261649754381326,-0.14285714285714285,6.785714285714286,10.0,0.0,81.14285714285714,4.5,85.64285714285714,12.435119047619049
"(0.95, 1.0]",10.0,0.4866759244591446,0.9724781396146448,-0.16666666666666666,6.25,10.0,0.0,72.33333333333333,1.0,73.33333333333333,11.92179232804233
