bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",10.0,0.4759004664493172,0.5280447539304693,0.3333333333333333,5.0,10.0,0.0,26.2,14.466666666666667,40.666666666666664,7.0332711732711735
"(0.55, 0.6]",10.0,0.48865156942984017,0.569177608185413,1.0,6.75,10.0,0.0,36.75,23.0,59.75,7.694444444444445
"(0.6, 0.65]",10.0,0.5123021059080445,0.6271760244997548,0.0,6.2,10.0,0.0,35.7,12.7,48.4,7.349633699633699
"(0.65, 0.7]",10.0,0.5165535636645373,0.6776720186818361,-0.2,7.1,10.0,0.0,52.5,19.3,71.8,9.155252525252525
"(0.7, 0.75]",10.0,0.5136952358247329,0.7242025019766756,0.3333333333333333,7.555555555555555,10.0,0.0,58.55555555555556,17.444444444444443,76.0,9.674579124579125
"(0.75, 0.8]",10.0,0.4992598397415289,0.7649162782429078,-0.1111111111111111,7.444444444444445,10.0,0.0,53.55555555555556,9.555555555555555,63.111111111111114,8.125653358986693
"(0.8, 0.85]",10.0,0.49818118330860744,0.8258398209590245,-0.3333333333333333,6.888888888888889,10.0,0.0,57.666666666666664,8.444444444444445,66.11111111111111,9.476070226070227
"(0.85, 0.9]",10.0,0.497525750216246,0.8839959608311094,-0.7777777777777778,7.111111111111111,10.0,0.0,68.66666666666667,4.777777777777778,73.44444444444444,10.226719576719578
"(0.9, 0.95]",10.0,0.47847633414681034,0.9298689029896668,0.2857142857142857,7.357142857142857,10.0,0.0,69.07142857142857,3.642857142857143,72.71428571428571,9.133513708513709
"(0.95, 1.0]",10.0,0.4930179634368463,0.9773270504552941,0.2727272727272727,6.636363636363637,10.0,0.0,76.72727272727273,0.9090909090909091,77.63636363636364,11.291991341991341
