,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
0,10,0.5581123426826035,0.6547725589299486,-1,5,10,0,26,15,41,8.2
1,10,0.4320871118327313,0.5299232577545141,1,6,10,0,30,9,39,6.5
2,10,0.5498961028514293,0.6683289353113584,1,6,10,0,89,16,105,17.5
3,10,0.5358179455211052,0.9836050154298657,-1,6,10,0,117,1,118,19.666666666666668
4,10,0.47305414002341056,0.5597886589147771,-1,4,10,0,13,17,30,7.5
5,10,0.47132905369864564,0.6820873270019346,1,5,10,0,29,5,34,6.8
6,10,0.612137507529102,0.6972955910333156,1,5,10,0,105,15,120,24.0
7,10,0.43618063197739576,0.7769339073014382,1,9,10,0,70,5,75,8.333333333333334
8,10,0.5829497204671057,0.6351244037964667,-1,15,10,0,95,48,143,9.533333333333333
9,10,0.6605657588606155,0.7963415411906194,1,5,10,0,118,10,128,25.6
10,10,0.5119356031150775,0.6642321709906673,-1,6,10,0,26,13,39,6.5
11,10,0.6646175150319658,0.6400489039565702,1,6,10,0,104,16,120,20.0
12,10,0.5797870608631263,0.625761336807183,1,9,10,0,97,18,115,12.777777777777779
13,10,0.5008334776051795,0.6057993652546764,-1,4,10,0,30,15,45,11.25
14,10,0.5256308457398511,0.8637609482933387,-1,8,10,0,112,6,118,14.75
15,10,0.4618577689103964,0.5302288869160963,-1,5,10,0,17,14,31,6.2
16,10,0.5749983074962318,0.6781958149900895,1,7,10,0,108,15,123,17.571428571428573
17,10,0.6153543356624618,0.549439719278078,1,8,10,0,76,25,101,12.625
18,10,0.4198579964772771,0.8786369063853969,-1,3,10,0,23,1,24,8.0
19,10,0.4568033720185078,0.8423619902713518,-1,3,10,0,20,2,22,7.333333333333333
20,10,0.5924801346407876,0.7390916877923439,1,6,10,0,111,11,122,20.333333333333332
21,10,0.4515727829856512,0.583069827752011,1,10,10,0,44,12,56,5.6
22,10,0.36937522634044295,0.6463612442562842,1,5,10,0,29,5,34,6.8
23,10,0.6357027158619668,0.9445153067320513,-1,5,10,0,122,4,126,25.2
24,10,0.49772416872298325,0.6022065058768205,1,7,10,0,58,11,69,9.857142857142858
25,10,0.6115597658367633,0.6921643424328623,1,6,10,0,105,14,119,19.833333333333332
26,10,0.5113544435165879,0.73523854364024,-1,4,10,0,25,5,30,7.5
27,10,0.5373919198991381,0.6691945513335964,1,7,10,0,83,17,100,14.285714285714286
28,10,0.4156738552531654,0.6598819447576816,-1,3,10,0,18,5,23,7.666666666666667
29,10,0.45207362468494733,0.6049101194685245,1,7,10,0,45,11,56,8.0
30,10,0.6201428233757158,0.8549456384202119,1,5,10,0,118,10,128,25.6
31,10,0.46934120464693296,0.9485843432221199,-1,7,10,0,106,3,109,15.571428571428571
32,10,0.6318152919530404,0.8396011455047168,-1,5,10,0,117,9,126,25.2
33,10,0.5193278194583875,0.5788688601475928,-1,5,10,0,17,25,42,8.4
34,10,0.5570717150592068,0.8849262239855755,1,6,10,0,117,5,122,20.333333333333332
35,10,0.5942646187030695,0.6716694535663621,-1,12,10,0,94,33,127,10.583333333333334
36,10,0.47995555972580967,0.687295967642983,1,8,10,0,67,10,77,9.625
37,10,0.6219609355638517,0.6046313706087059,1,6,10,0,90,16,106,17.666666666666668
38,10,0.4042640400225672,0.6922473193776157,1,9,10,0,45,7,52,5.777777777777778
39,10,0.38640273184090895,0.6926931043500946,-1,3,10,0,22,5,27,9.0
40,10,0.5483548417689381,0.8794760012932761,-1,8,10,0,113,5,118,14.75
41,10,0.653742877597306,0.5871136551629899,-1,5,10,0,23,23,46,9.2
42,10,0.5151925006843856,0.9256700310487793,1,5,10,0,111,1,112,22.4
43,10,0.5608058834603598,0.5033254222846808,-1,8,10,0,20,50,70,8.75
44,10,0.6437449673200565,0.8926680270154332,1,5,10,0,117,7,124,24.8
45,10,0.5911912851363711,0.9911709205795785,-1,7,10,0,120,0,120,17.142857142857142
46,10,0.6595967196843839,0.8195430235783709,-1,8,10,0,120,9,129,16.125
47,10,0.4314550136850227,0.8904814353348891,1,7,10,0,85,3,88,12.571428571428571
48,10,0.42843323036003444,0.6254636245889962,-1,4,10,0,15,14,29,7.25
49,10,0.5268976074442879,0.5727992053494801,1,4,10,0,27,8,35,8.75
50,10,0.6575795478799497,0.6961641863186687,-1,11,10,0,118,45,163,14.818181818181818
51,10,0.5835040709605942,0.5659465979533105,-1,5,10,0,21,25,46,9.2
52,10,0.4484610874612727,0.6220911692890552,-1,4,10,0,19,8,27,6.75
53,10,0.5742220252717285,0.6387616851366889,1,7,10,0,86,15,101,14.428571428571429
54,10,0.5314273072548946,0.8349938829973433,-1,13,10,0,110,7,117,9.0
55,10,0.36881296524135165,0.5295260393112067,-1,7,10,0,12,15,27,3.857142857142857
56,10,0.469995605001197,0.9517173698675214,-1,12,10,0,114,3,117,9.75
57,10,0.5930706139792319,0.6758955287548394,1,6,10,0,107,13,120,20.0
58,10,0.4861446152054087,0.8444584756812616,1,5,10,0,104,5,109,21.8
59,10,0.4552369329364981,0.7778521263486446,-1,4,10,0,29,5,34,8.5
60,10,0.5635102145066002,0.6715874521753405,1,8,10,0,100,17,117,14.625
61,10,0.4775832509212545,0.5758323408497823,1,2,10,0,9,5,14,7.0
62,10,0.5765032233137558,0.9142636105315082,1,5,10,0,115,2,117,23.4
