bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",10.0,0.4802353685349172,0.5275648197128037,0.14285714285714285,6.285714285714286,10.0,0.0,28.0,18.285714285714285,46.285714285714285,7.037925170068028
"(0.55, 0.6]",10.0,0.5093485087418269,0.5742604579082339,-0.09090909090909091,5.454545454545454,10.0,0.0,26.363636363636363,14.727272727272727,41.09090909090909,7.681818181818182
"(0.6, 0.65]",10.0,0.5034427597420809,0.6231544243818092,-0.06666666666666667,6.2,10.0,0.0,49.86666666666667,15.333333333333334,65.2,10.160899470899471
"(0.65, 0.7]",10.0,0.5259571933046321,0.6800962996000991,0.1,6.35,10.0,0.0,64.6,14.55,79.15,12.210155122655122
"(0.7, 0.75]",10.0,0.5272558704841726,0.7331990419537953,0.2,5.6,10.0,0.0,66.6,9.0,75.6,12.8
"(0.75, 0.8]",10.0,0.535591733582,0.7812485767731341,0.5,5.75,10.0,0.0,82.0,7.5,89.5,16.658333333333335
"(0.8, 0.85]",10.0,0.5585648651484659,0.8295408820860474,-0.1111111111111111,6.666666666666667,10.0,0.0,95.22222222222223,7.0,102.22222222222223,16.659567901234567
"(0.85, 0.9]",10.0,0.5312700671522556,0.8762631163504824,0.2,6.533333333333333,10.0,0.0,99.33333333333333,5.4,104.73333333333333,17.084074074074074
"(0.9, 0.95]",10.0,0.5230389839928835,0.928481370079797,-0.3333333333333333,7.0,10.0,0.0,110.55555555555556,2.7777777777777777,113.33333333333333,18.04734771401438
"(0.95, 1.0]",10.0,0.5067156337448133,0.9719738274457065,-0.2,7.2,10.0,0.0,114.4,1.0,115.4,17.49190476190476
