bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",,,,,,,,,,,
"(0.55, 0.6]",,,,,,,,,,,
"(0.6, 0.65]",,,,,,,,,,,
"(0.65, 0.7]",,,,,,,,,,,
"(0.7, 0.75]",,,,,,,,,,,
"(0.75, 0.8]",,,,,,,,,,,
"(0.8, 0.85]",,,,,,,,,,,
"(0.85, 0.9]",,,,,,,,,,,
"(0.9, 0.95]",,,,,,,,,,,
"(0.95, 1.0]",10.0,0.7118273161266099,0.9596210299160903,-1.0,7.0,10.0,0.0,125.0,10.0,135.0,19.285714285714285
