bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",10.0,0.4674099654146556,0.5189999783410854,0.1111111111111111,8.11111111111111,10.0,0.0,41.888888888888886,27.444444444444443,69.33333333333333,8.438095238095238
"(0.55, 0.6]",10.0,0.520456984595694,0.5781210792809806,-0.09090909090909091,8.545454545454545,10.0,0.0,53.36363636363637,33.09090909090909,86.45454545454545,10.063035953945045
"(0.6, 0.65]",10.0,0.4685672998479465,0.6244768133511942,-0.2,6.2,10.0,0.0,41.3,17.8,59.1,9.386666666666667
"(0.65, 0.7]",10.0,0.4857784058243966,0.6783434817814249,0.25,7.0,10.0,0.0,55.375,20.25,75.625,10.569868326118327
"(0.7, 0.75]",10.0,0.4900627129483633,0.7230513359320107,0.3333333333333333,8.5,10.0,0.0,57.166666666666664,17.0,74.16666666666667,8.969246031746032
"(0.75, 0.8]",10.0,0.5218573986235394,0.7684392092196488,0.14285714285714285,7.571428571428571,10.0,0.0,73.0,18.428571428571427,91.42857142857143,12.207587650444793
"(0.8, 0.85]",10.0,0.4972447570562742,0.8245330627461461,0.0,7.333333333333333,10.0,0.0,68.08333333333333,13.25,81.33333333333333,10.965178571428572
"(0.85, 0.9]",10.0,0.5323527515931383,0.8818376059151247,-0.25,8.125,10.0,0.0,82.25,11.375,93.625,11.692857142857143
"(0.9, 0.95]",10.0,0.5094709975010655,0.9270441407299378,-0.2857142857142857,7.571428571428571,10.0,0.0,84.0,7.785714285714286,91.78571428571429,12.041256759113903
"(0.95, 1.0]",10.0,0.5137078763620663,0.9719499831456073,0.2,7.666666666666667,10.0,0.0,91.4,3.7333333333333334,95.13333333333334,12.672063492063494
