,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
0,10,0.4149934720838771,0.6923819302506113,-1,5,10,0,22,7,29,5.8
1,10,0.4319487070898375,0.5412169232869868,1,3,10,0,10,9,19,6.333333333333333
2,10,0.4629055593743681,0.9950191417201295,1,8,10,0,110,0,110,13.75
3,10,0.5926401593618215,0.5285585618398254,1,4,10,0,10,10,20,5.0
4,10,0.5585633420969939,0.5431133955201304,-1,10,10,0,45,14,59,5.9
5,10,0.47768955124934054,0.5884904638918345,1,4,10,0,15,6,21,5.25
6,10,0.5100596258304356,0.7835367684930787,-1,8,10,0,109,10,119,14.875
7,10,0.5524160713111536,0.8430277540206808,-1,5,10,0,118,8,126,25.2
8,10,0.4584640318540806,0.7691666981585594,1,4,10,0,17,3,20,5.0
9,10,0.5814470601969425,0.955997215066801,1,6,10,0,121,2,123,20.5
10,10,0.4459173533641164,0.8798729570992181,-1,7,10,0,109,2,111,15.857142857142858
11,10,0.48502545446923473,0.8565476192726356,-1,9,10,0,110,5,115,12.777777777777779
12,10,0.5641438273681827,0.9402888721505873,-1,4,10,0,120,1,121,30.25
13,10,0.43762819015492266,0.653604331300893,1,3,10,0,14,6,20,6.666666666666667
14,10,0.44756286372586707,0.9597760493238359,1,9,10,0,101,1,102,11.333333333333334
15,10,0.48010317332523494,0.7370511646041848,1,4,10,0,23,5,28,7.0
16,10,0.5316832074963613,0.752827065243847,-1,8,10,0,111,9,120,15.0
17,10,0.47560686647721817,0.7630480032636138,1,3,10,0,12,5,17,5.666666666666667
18,10,0.6698120181193904,0.5145563294766247,1,12,10,0,86,109,195,16.25
19,10,0.6241849253716857,0.6726005972662559,1,14,10,0,108,44,152,10.857142857142858
20,10,0.44066080641963995,0.7995402396111169,1,3,10,0,13,4,17,5.666666666666667
21,10,0.4672614952716948,0.7543467959382408,1,3,10,0,10,4,14,4.666666666666667
22,10,0.5231210496881203,0.8074844825711807,-1,7,10,0,110,8,118,16.857142857142858
23,10,0.5328081779858026,0.6860097733538815,-1,8,10,0,107,18,125,15.625
24,10,0.5279163452751777,0.8147887453608085,1,8,10,0,91,8,99,12.375
25,10,0.46207104404524413,0.7009855139998226,-1,7,10,0,42,5,47,6.714285714285714
26,10,0.6305097948470855,0.941001803938542,1,5,10,0,122,3,125,25.0
27,10,0.5693114641840421,0.6817826112685532,1,10,10,0,58,9,67,6.7
28,10,0.5269388806240166,0.7980852964695595,1,8,10,0,90,9,99,12.375
29,10,0.4397840794134495,0.5130109806737388,1,2,10,0,9,8,17,8.5
30,10,0.42324845129236843,0.5707593324764622,-1,4,10,0,10,4,14,3.5
31,10,0.5064973188265837,0.7912228656019604,-1,8,10,0,109,9,118,14.75
32,10,0.5079326236857657,0.720569012013146,-1,12,10,0,108,10,118,9.833333333333334
33,10,0.642294816963156,0.8879851928358575,-1,5,10,0,124,7,131,26.2
34,10,0.4403135835079684,0.7207052622914715,1,5,10,0,18,6,24,4.8
35,10,0.5523329316109273,0.5800420944547451,-1,13,10,0,78,17,95,7.3076923076923075
36,10,0.48201529882384375,0.5698030273981045,1,2,10,0,8,8,16,8.0
37,10,0.515721688480244,0.8874437662361389,-1,6,10,0,114,4,118,19.666666666666668
38,10,0.5680426295062653,0.7546124280821009,-1,6,10,0,112,13,125,20.833333333333332
39,10,0.46622424710891214,0.6841068021933288,-1,7,10,0,49,9,58,8.285714285714286
40,10,0.3283319473972639,0.9893116383282325,1,4,10,0,24,0,24,6.0
41,10,0.3888269406784229,0.9618419748544822,1,7,10,0,29,0,29,4.142857142857143
42,10,0.5609657390679237,0.5549956673922274,-1,5,10,0,39,15,54,10.8
43,10,0.4463128827756515,0.6956111275286738,-1,9,10,0,61,9,70,7.777777777777778
44,10,0.5417678295460304,0.9769746924167609,-1,6,10,0,119,1,120,20.0
45,10,0.5147714742973447,0.9816883390213587,-1,5,10,0,119,1,120,24.0
46,10,0.5628607004551212,0.7322510266180147,1,11,10,0,82,25,107,9.727272727272727
47,10,0.6173348796288064,0.7859948113469245,-1,5,10,0,118,9,127,25.4
48,10,0.45552868481045344,0.7333777636162819,1,5,10,0,28,6,34,6.8
49,10,0.5285579384314187,0.8070064567798723,1,13,10,0,104,9,113,8.692307692307692
50,10,0.5615737877005317,0.5484617934642589,-1,6,10,0,44,16,60,10.0
51,10,0.3941455698652371,0.9697972673745237,1,6,10,0,34,0,34,5.666666666666667
52,10,0.4782449251871202,0.7135492064186626,-1,9,10,0,57,7,64,7.111111111111111
53,10,0.521176707123481,0.7776836978467447,1,9,10,0,78,11,89,9.88888888888889
54,10,0.43331598907031577,0.5286714235679129,1,4,10,0,9,10,19,4.75
55,10,0.5131931256408991,0.5475751493048151,-1,8,10,0,38,19,57,7.125
56,10,0.5398364279579904,0.9847721743927487,1,7,10,0,121,0,121,17.285714285714285
57,10,0.47305014020012576,0.9431661940681355,1,8,10,0,108,1,109,13.625
58,10,0.5583114640443729,0.6234326887649322,-1,10,10,0,102,20,122,12.2
59,10,0.5347068133210918,0.9391882692081783,1,8,10,0,119,3,122,15.25
60,10,0.42980643570168864,0.5299408298795294,-1,2,10,0,8,4,12,6.0
61,10,0.5251440285161886,0.6762627718656298,1,8,10,0,36,8,44,5.5
62,10,0.5563255556400872,0.893186736069618,1,8,10,0,119,6,125,15.625
63,10,0.4953401863262716,0.5127618845431875,1,3,10,0,10,8,18,6.0
64,10,0.3698880902184618,0.616049991806345,1,2,10,0,10,5,15,7.5
65,10,0.5435136389615584,0.9970010507584262,1,6,10,0,120,0,120,20.0
66,10,0.5132869837301876,0.9125134816413285,1,8,10,0,110,4,114,14.25
67,10,0.4611899621063259,0.6833067444554124,-1,10,10,0,43,7,50,5.0
68,10,0.3880138587449493,0.6317549225174921,1,3,10,0,10,7,17,5.666666666666667
69,10,0.44798160416572275,0.5936337110989236,1,4,10,0,16,8,24,6.0
70,10,0.5277457813742965,0.6949952032381723,1,4,10,0,20,5,25,6.25
