bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",10.0,0.4999237057947079,0.5288356706511761,0.14285714285714285,5.142857142857143,10.0,0.0,23.928571428571427,17.785714285714285,41.714285714285715,7.125595238095238
"(0.55, 0.6]",10.0,0.5067769179211788,0.5757383360632438,0.2,5.8,10.0,0.0,34.4,15.3,49.7,7.762435897435897
"(0.6, 0.65]",10.0,0.4901046667775579,0.6182247267564938,0.6666666666666666,4.833333333333333,10.0,0.0,29.833333333333332,9.833333333333334,39.666666666666664,7.116666666666667
"(0.65, 0.7]",10.0,0.5005543131661705,0.6820661892721411,0.0,7.8,10.0,0.0,51.8,12.2,64.0,7.846230158730158
"(0.7, 0.75]",10.0,0.5152653574191419,0.7182854015504422,0.0,6.8,10.0,0.0,61.3,10.0,71.3,10.546219336219336
"(0.75, 0.8]",10.0,0.4965361613674237,0.7767781178835547,0.0,6.0,10.0,0.0,68.91666666666667,7.416666666666667,76.33333333333333,11.78399470899471
"(0.8, 0.85]",10.0,0.4965185127087411,0.8256468741224492,0.0,8.9,10.0,0.0,98.2,6.9,105.1,13.497921245421244
"(0.85, 0.9]",10.0,0.5056814676701027,0.8840068906967014,-0.14285714285714285,7.142857142857143,10.0,0.0,98.71428571428571,4.285714285714286,103.0,15.120124716553288
"(0.9, 0.95]",10.0,0.5420470648816206,0.9372592821842202,0.6666666666666666,6.5,10.0,0.0,116.5,2.5,119.0,19.8125
"(0.95, 1.0]",10.0,0.48996486129460876,0.9768225800753849,0.6,6.933333333333334,10.0,0.0,98.8,0.4666666666666667,99.26666666666667,14.709968734968735
