bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",10.0,0.4504864527942001,0.5320968182606326,0.45454545454545453,7.454545454545454,10.0,0.0,51.0,33.36363636363637,84.36363636363636,11.13982683982684
"(0.55, 0.6]",10.0,0.4784794288649512,0.5782522411146791,0.16666666666666666,8.0,10.0,0.0,61.583333333333336,37.25,98.83333333333333,12.44335618085618
"(0.6, 0.65]",10.0,0.4705124419063509,0.6183364841512786,-0.6,7.4,10.0,0.0,49.6,31.2,80.8,10.922727272727272
"(0.65, 0.7]",10.0,0.501689331952107,0.6737362034822367,-0.1111111111111111,6.777777777777778,10.0,0.0,69.66666666666667,32.0,101.66666666666667,14.414417989417991
"(0.7, 0.75]",10.0,0.49763919313994126,0.7359360701106938,0.6666666666666666,9.333333333333334,10.0,0.0,85.66666666666667,26.166666666666668,111.83333333333333,12.251256613756615
"(0.75, 0.8]",10.0,0.49446925126476793,0.7761567262901774,-0.3333333333333333,7.111111111111111,10.0,0.0,69.77777777777777,22.444444444444443,92.22222222222223,13.01772486772487
"(0.8, 0.85]",10.0,0.4791646582685796,0.8251559980395609,-0.16666666666666666,7.416666666666667,10.0,0.0,76.83333333333333,16.666666666666668,93.5,12.472387566137565
"(0.85, 0.9]",10.0,0.5165026436435498,0.8726721691734715,0.0,6.857142857142857,10.0,0.0,88.21428571428571,12.357142857142858,100.57142857142857,15.416326530612244
"(0.9, 0.95]",10.0,0.4838864426888758,0.9249780107589083,-0.09090909090909091,7.7272727272727275,10.0,0.0,85.27272727272727,7.909090909090909,93.18181818181819,12.11017316017316
"(0.95, 1.0]",10.0,0.5156414236100211,0.9858768835103185,0.09090909090909091,6.0,10.0,0.0,86.36363636363636,1.2727272727272727,87.63636363636364,15.042207792207792
