bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",10.0,0.5298771908400339,0.5216362075780656,0.0,9.0,10.0,0.0,58.8,50.3,109.1,11.70017676767677
"(0.55, 0.6]",10.0,0.4897662231616233,0.5657941016009409,0.0,8.2,10.0,0.0,58.6,33.4,92.0,10.707481962481962
"(0.6, 0.65]",10.0,0.4885358756309161,0.6317886411377814,0.5,8.125,10.0,0.0,60.5,25.875,86.375,10.361851343101343
"(0.65, 0.7]",10.0,0.4938726139276823,0.677778012645594,0.0,7.333333333333333,10.0,0.0,72.58333333333333,24.083333333333332,96.66666666666667,12.743584656084657
"(0.7, 0.75]",10.0,0.48162732539800734,0.7255252799498371,-0.2,7.0,10.0,0.0,74.0,15.2,89.2,12.876944444444444
"(0.75, 0.8]",10.0,0.4910639418523194,0.7831620855744432,0.1111111111111111,7.555555555555555,10.0,0.0,88.88888888888889,12.88888888888889,101.77777777777777,14.645823312489979
"(0.8, 0.85]",10.0,0.5287445806991925,0.8287175032796646,0.16666666666666666,7.0,10.0,0.0,105.91666666666667,8.25,114.16666666666667,16.688988095238095
"(0.85, 0.9]",10.0,0.5149954930544897,0.8746878744789289,0.3333333333333333,6.666666666666667,10.0,0.0,108.66666666666667,5.888888888888889,114.55555555555556,18.502116402116403
"(0.9, 0.95]",10.0,0.5008564425624673,0.9213653462787288,0.45454545454545453,6.909090909090909,10.0,0.0,109.36363636363636,2.727272727272727,112.0909090909091,16.838672438672436
"(0.95, 1.0]",10.0,0.4908938157099254,0.9734461068620952,-0.3333333333333333,6.222222222222222,10.0,0.0,109.0,0.4444444444444444,109.44444444444444,18.134259259259256
