bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",10.0,0.5219759840251624,0.522408411626733,-0.5,7.583333333333333,10.0,0.0,39.0,32.583333333333336,71.58333333333333,9.50472582972583
"(0.55, 0.6]",10.0,0.4947909108318207,0.579081157854024,-0.5,7.333333333333333,10.0,0.0,45.583333333333336,27.25,72.83333333333333,9.163167388167388
"(0.6, 0.65]",10.0,0.5155504507618666,0.6300553563536712,-0.3333333333333333,6.777777777777778,10.0,0.0,68.0,27.77777777777778,95.77777777777777,13.277116402116402
"(0.65, 0.7]",10.0,0.5279118367465067,0.6749624867342322,0.6,8.2,10.0,0.0,90.8,25.9,116.7,14.954332611832612
"(0.7, 0.75]",10.0,0.48208761883936696,0.7255545644840709,-0.6666666666666666,8.0,10.0,0.0,75.16666666666667,14.333333333333334,89.5,11.222186147186148
"(0.75, 0.8]",10.0,0.5007742051883991,0.7729970416017953,0.0,7.125,10.0,0.0,98.375,13.375,111.75,15.815972222222221
"(0.8, 0.85]",10.0,0.4747120450737507,0.8282953343006421,-0.25,5.625,10.0,0.0,84.875,5.25,90.125,16.075
"(0.85, 0.9]",10.0,0.4971189007865579,0.877758015827353,0.0,6.6,10.0,0.0,112.3,3.9,116.2,18.448095238095238
"(0.9, 0.95]",10.0,0.44743986977912037,0.9391209959931897,0.1111111111111111,6.333333333333333,10.0,0.0,102.11111111111111,0.6666666666666666,102.77777777777777,17.447222222222223
"(0.95, 1.0]",10.0,0.5109236858773476,0.9758674779801578,-0.25,5.3125,10.0,0.0,113.1875,0.0,113.1875,22.298660714285713
