bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",10.0,0.4480118666288742,0.5220292749518249,0.0,5.5,10.0,0.0,29.875,24.75,54.625,9.404166666666667
"(0.55, 0.6]",10.0,0.494423557206062,0.5809979241651126,0.09090909090909091,7.909090909090909,10.0,0.0,52.09090909090909,29.818181818181817,81.9090909090909,10.316125541125542
"(0.6, 0.65]",10.0,0.5132040061574384,0.6277840291123845,-0.25,7.375,10.0,0.0,61.5,25.375,86.875,11.837973484848485
"(0.65, 0.7]",10.0,0.5147505063158906,0.670233635146615,-0.1111111111111111,9.0,10.0,0.0,77.66666666666667,25.444444444444443,103.11111111111111,11.696825396825396
"(0.7, 0.75]",10.0,0.47018207536972145,0.730120731226057,0.3333333333333333,7.166666666666667,10.0,0.0,68.16666666666667,14.833333333333334,83.0,11.921825396825398
"(0.75, 0.8]",10.0,0.5188286502635507,0.7741737584856743,-0.07692307692307693,7.3076923076923075,10.0,0.0,96.38461538461539,16.307692307692307,112.6923076923077,15.580250305250305
"(0.8, 0.85]",10.0,0.5120709075124746,0.8319072615439009,0.3333333333333333,8.333333333333334,10.0,0.0,106.22222222222223,11.555555555555555,117.77777777777777,14.79043209876543
"(0.85, 0.9]",10.0,0.4785829786984019,0.8772907458820455,0.42857142857142855,6.428571428571429,10.0,0.0,94.92857142857143,6.5,101.42857142857143,16.07219387755102
"(0.9, 0.95]",10.0,0.4749102112657715,0.9268547363875649,0.5384615384615384,5.846153846153846,10.0,0.0,96.76923076923077,2.923076923076923,99.6923076923077,17.377655677655678
"(0.95, 1.0]",10.0,0.484668320536093,0.9854391658411963,0.1111111111111111,5.888888888888889,10.0,0.0,112.22222222222223,0.4444444444444444,112.66666666666667,19.465079365079365
