bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",10.0,0.4413754743356181,0.5279597147361512,-0.42857142857142855,4.928571428571429,10.0,0.0,21.5,10.357142857142858,31.857142857142858,6.62593537414966
"(0.55, 0.6]",10.0,0.4649267011413368,0.5685165862060308,-0.2857142857142857,5.857142857142857,10.0,0.0,29.142857142857142,14.0,43.142857142857146,7.348412698412699
"(0.6, 0.65]",10.0,0.49503219590109604,0.6377197674603212,-0.5,7.5,10.0,0.0,42.0,21.375,63.375,8.00525713321766
"(0.65, 0.7]",10.0,0.4911299191011155,0.6732038989931668,0.2,6.0,10.0,0.0,44.9,13.9,58.8,9.426190476190476
"(0.7, 0.75]",10.0,0.5058136233683942,0.7216677482376928,-0.23076923076923078,5.461538461538462,10.0,0.0,40.53846153846154,11.307692307692308,51.84615384615385,9.113186813186813
"(0.75, 0.8]",10.0,0.49439974434491435,0.7806220676604322,0.45454545454545453,6.454545454545454,10.0,0.0,54.45454545454545,9.0,63.45454545454545,9.27077922077922
"(0.8, 0.85]",10.0,0.4889693761270635,0.8340454972151015,0.1111111111111111,5.555555555555555,10.0,0.0,54.0,6.444444444444445,60.44444444444444,10.202380952380953
"(0.85, 0.9]",10.0,0.5111215152403299,0.8797672123955279,-0.42857142857142855,7.571428571428571,10.0,0.0,69.14285714285714,6.571428571428571,75.71428571428571,10.237755102040817
"(0.9, 0.95]",10.0,0.5523058748067142,0.939867393418723,0.3333333333333333,6.833333333333333,10.0,0.0,90.0,3.5,93.5,14.28095238095238
"(0.95, 1.0]",10.0,0.5088300208978894,0.9669902707880471,0.25,6.5,10.0,0.0,76.375,1.0,77.375,12.047222222222222
