,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
0,10,0.5692834475058559,0.8431163772521828,1,8,10,0,102,13,115,14.375
1,10,0.4709756765180453,0.6342469802457269,-1,3,10,0,18,2,20,6.666666666666667
2,10,0.5069410215281595,0.9582016425244886,1,7,10,0,95,2,97,13.857142857142858
3,10,0.5476710804310163,0.5795113228563891,-1,9,10,0,43,36,79,8.777777777777779
4,10,0.5362281105451915,0.9592200725808593,1,5,10,0,101,2,103,20.6
5,10,0.5434006193215738,0.6068886894391752,-1,7,10,0,35,23,58,8.285714285714286
6,10,0.46815806889523043,0.9665344784419836,-1,4,10,0,40,0,40,10.0
7,10,0.43724438460687165,0.5059122595777626,-1,2,10,0,11,1,12,6.0
8,10,0.44654188591545474,0.6822269099940854,1,7,10,0,33,7,40,5.714285714285714
9,10,0.4401535134207214,0.6678899639622469,1,4,10,0,21,3,24,6.0
10,10,0.3425574150109267,0.5624467425849743,-1,3,10,0,16,7,23,7.666666666666667
11,10,0.579827179644652,0.671415606278343,1,7,10,0,79,31,110,15.714285714285714
12,10,0.5467657053477358,0.7255023277491692,-1,4,10,0,29,11,40,10.0
13,10,0.40091612220064643,0.8158285899029345,-1,4,10,0,27,5,32,8.0
14,10,0.5065094601884547,0.680133952108897,-1,4,10,0,25,7,32,8.0
15,10,0.41585751070570637,0.5520944385456414,-1,4,10,0,18,11,29,7.25
16,10,0.47398658820190737,0.849656987005096,-1,3,10,0,21,1,22,7.333333333333333
17,10,0.4408463939850341,0.5216538964236139,-1,7,10,0,29,17,46,6.571428571428571
18,10,0.5279286731589092,0.828574992438327,-1,8,10,0,48,7,55,6.875
19,10,0.5039331362503638,0.8927692687024978,-1,7,10,0,58,6,64,9.142857142857142
20,10,0.4766541540723543,0.7452328707359965,-1,6,10,0,35,9,44,7.333333333333333
21,10,0.44753015031293797,0.7961084259320623,1,8,10,0,59,7,66,8.25
22,10,0.4178171327050644,0.5246081375590552,-1,3,10,0,16,7,23,7.666666666666667
23,10,0.4330230438984859,0.5877520788016445,-1,4,10,0,19,7,26,6.5
24,10,0.42126505130414,0.8765957325011999,1,4,10,0,39,2,41,10.25
25,10,0.5113827141466091,0.7412251376410374,1,7,10,0,74,15,89,12.714285714285714
26,10,0.508512159550087,0.8698986559703673,-1,5,10,0,51,5,56,11.2
27,10,0.3517643296434325,0.548885705149426,-1,3,10,0,14,3,17,5.666666666666667
28,10,0.5987861680902794,0.7205285840460969,1,7,10,0,97,30,127,18.142857142857142
29,10,0.4159536480286017,0.5265250910487769,-1,3,10,0,13,3,16,5.333333333333333
30,10,0.40621138606825824,0.6616733808409994,-1,2,10,0,16,2,18,9.0
31,10,0.4867120427992019,0.710340966819316,1,3,10,0,20,2,22,7.333333333333333
32,10,0.42211971003088866,0.756060477056202,1,7,10,0,47,7,54,7.714285714285714
33,10,0.4044624166974575,0.5368264100081332,-1,2,10,0,13,2,15,7.5
34,10,0.4717344492807499,0.7549411095657554,-1,5,10,0,29,5,34,6.8
35,10,0.5902211074802943,0.9690792951887206,1,7,10,0,111,2,113,16.142857142857142
36,10,0.5313211230646875,0.7878262555112993,-1,3,10,0,18,1,19,6.333333333333333
37,10,0.6107473142543329,0.6967033647105749,1,8,10,0,96,34,130,16.25
38,10,0.4737551328978431,0.7509926096714721,1,3,10,0,15,1,16,5.333333333333333
39,10,0.3126393746866205,0.5816833809292965,-1,3,10,0,17,5,22,7.333333333333333
