,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
0,10,0.5347084737485577,0.6756757260677407,-1,13,10,0,125,111,236,18.153846153846153
1,10,0.4310940915671515,0.9783838888066285,-1,21,10,0,125,109,234,11.142857142857142
2,10,0.5895208672433695,0.8792905497462784,-1,16,10,0,124,101,225,14.0625
3,10,0.6046718942406253,0.61956891952845,-1,6,10,0,118,108,226,37.666666666666664
4,10,0.4902620643649709,0.9305770017122699,-1,17,10,0,125,103,228,13.411764705882353
5,10,0.4171124478352579,0.594720732447297,1,15,10,0,116,115,231,15.4
6,10,0.42432576516104414,0.6952105525743182,1,12,10,0,119,99,218,18.166666666666668
7,10,0.4068052293614385,0.9606235489691091,1,17,10,0,125,108,233,13.705882352941176
8,10,0.5243412877207215,0.5216008146180948,-1,19,10,0,123,121,244,12.842105263157896
9,10,0.5585092803348817,0.6479260292357609,-1,8,10,0,119,101,220,27.5
10,10,0.5831661827304341,0.8147607063121673,-1,24,10,0,125,117,242,10.083333333333334
11,10,0.5852887956043846,0.6999466356384447,1,18,10,0,122,120,242,13.444444444444445
12,10,0.5435247696838708,0.5766276615679728,1,15,10,0,121,122,243,16.2
13,10,0.5106400186620987,0.7204036765748676,1,15,10,0,121,114,235,15.666666666666666
14,10,0.49649389781854436,0.8131928180775375,1,17,10,0,125,114,239,14.058823529411764
15,10,0.5557939037816245,0.5794007037390851,1,11,10,0,119,119,238,21.636363636363637
16,10,0.5680366353273305,0.9559775285075803,1,21,10,0,125,112,237,11.285714285714286
17,10,0.36156517288059453,0.783543359513245,-1,20,10,0,123,112,235,11.75
18,10,0.6120992998447702,0.5051008672287816,1,6,10,0,119,120,239,39.833333333333336
19,10,0.45057683381531033,0.832940105588375,1,21,10,0,125,116,241,11.476190476190476
20,10,0.5747341212850776,0.7898791293266733,-1,12,10,0,125,100,225,18.75
21,10,0.4562380642275402,0.6241641086251064,1,17,10,0,123,116,239,14.058823529411764
22,10,0.4252482781244301,0.9699359583906957,1,17,10,0,125,101,226,13.294117647058824
23,10,0.5135213285007191,0.5307136423138711,-1,21,10,0,124,124,248,11.80952380952381
24,10,0.42287491633050717,0.5372966400866015,-1,15,10,0,122,118,240,16.0
25,10,0.4833031508655825,0.7341258716977528,-1,21,10,0,124,114,238,11.333333333333334
26,10,0.5021488168619033,0.9915176775457124,-1,26,10,0,125,119,244,9.384615384615385
27,10,0.5964033907695913,0.6439113252216208,-1,9,10,0,122,110,232,25.77777777777778
28,10,0.46797334256794315,0.5034334361198813,1,9,10,0,113,112,225,25.0
29,10,0.5138127892024613,0.6522377219328432,-1,13,10,0,121,114,235,18.076923076923077
30,10,0.5125289633185515,0.6912479363162193,1,16,10,0,122,118,240,15.0
31,10,0.45427525815975695,0.7970094417582951,1,21,10,0,125,118,243,11.571428571428571
32,10,0.4829373422652889,0.7290420322112396,-1,19,10,0,125,117,242,12.736842105263158
33,10,0.47359914639154366,0.7458201586316127,-1,15,10,0,124,108,232,15.466666666666667
34,10,0.5668926387350852,0.5379177100441364,-1,7,10,0,117,112,229,32.714285714285715
35,10,0.40732751595176464,0.5020570677284084,-1,14,10,0,115,112,227,16.214285714285715
36,10,0.5147949852942514,0.8401298462445044,-1,19,10,0,125,114,239,12.578947368421053
37,10,0.527930392414623,0.528865894722405,-1,13,10,0,119,118,237,18.23076923076923
38,10,0.5540188401474951,0.636427614612044,-1,16,10,0,123,117,240,15.0
39,10,0.4590775152361765,0.8206347133318677,1,16,10,0,122,109,231,14.4375
40,10,0.42769911257089943,0.590377353421865,-1,16,10,0,119,113,232,14.5
41,10,0.46512130252420103,0.519279205649896,1,10,10,0,116,117,233,23.3
42,10,0.5143717729837506,0.8837753463224909,-1,20,10,0,125,113,238,11.9
43,10,0.4520638032743998,0.9716064297317288,-1,11,10,0,125,89,214,19.454545454545453
44,10,0.6222408164026667,0.871715184018683,-1,14,10,0,125,106,231,16.5
45,10,0.5161587553500445,0.5725631561910514,1,17,10,0,123,121,244,14.352941176470589
