bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",10.0,0.48535904822734655,0.525788277177402,-0.2222222222222222,13.222222222222221,10.0,0.0,117.77777777777777,117.16666666666667,234.94444444444446,19.903044648658682
"(0.55, 0.6]",10.0,0.5031501458645802,0.5808669537257438,0.0,15.25,10.0,0.0,120.25,117.125,237.375,16.244117647058825
"(0.6, 0.65]",10.0,0.53406691665336,0.630222915914127,-0.5555555555555556,11.88888888888889,10.0,0.0,120.22222222222223,110.55555555555556,230.77777777777777,22.678086619263087
"(0.65, 0.7]",10.0,0.4958870647071793,0.6760688946719513,-0.25,15.125,10.0,0.0,122.0,113.875,235.875,16.047669253261358
"(0.7, 0.75]",10.0,0.49649978848080784,0.7251353994809201,-0.5,17.0,10.0,0.0,123.66666666666667,114.41666666666667,238.08333333333334,14.207637557947157
"(0.75, 0.8]",10.0,0.4700771611796745,0.781021944124039,0.14285714285714285,15.714285714285714,10.0,0.0,123.0,109.14285714285714,232.14285714285714,15.455764123831349
"(0.8, 0.85]",10.0,0.45405899647809184,0.8234812013896996,-0.14285714285714285,19.357142857142858,10.0,0.0,124.28571428571429,111.57142857142857,235.85714285714286,12.47769391395002
"(0.85, 0.9]",10.0,0.5148696175809928,0.8747598259778949,0.14285714285714285,17.857142857142858,10.0,0.0,124.28571428571429,111.28571428571429,235.57142857142858,13.460148452973867
"(0.9, 0.95]",10.0,0.5105174182006238,0.933467113481032,-0.2,20.0,10.0,0.0,125.0,111.4,236.4,11.904984520123838
"(0.95, 1.0]",10.0,0.5065310377881603,0.9711850964425666,0.3333333333333333,19.25,10.0,0.0,124.83333333333333,107.33333333333333,232.16666666666666,12.94459394470264
