bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",10.0,0.4920180221012969,0.531037843660857,0.42857142857142855,19.571428571428573,10.0,0.0,99.57142857142857,91.57142857142857,191.14285714285714,11.487454772922755
"(0.55, 0.6]",10.0,0.46863986046056094,0.5753465192480464,-0.14285714285714285,18.285714285714285,10.0,0.0,98.71428571428571,80.5,179.21428571428572,11.325011301723487
"(0.6, 0.65]",10.0,0.4891290850092075,0.6331114465540749,-0.2,19.6,10.0,0.0,106.9,85.4,192.3,10.980504763778422
"(0.65, 0.7]",10.0,0.5224334764541739,0.6719380676199359,0.3333333333333333,11.666666666666666,10.0,0.0,97.66666666666667,60.333333333333336,158.0,13.655555555555557
"(0.7, 0.75]",10.0,0.47566425988199107,0.7255759943840209,-0.1111111111111111,14.555555555555555,10.0,0.0,100.88888888888889,56.44444444444444,157.33333333333334,13.079645662978997
"(0.75, 0.8]",10.0,0.4965362134756932,0.7695417988507374,-0.25,17.625,10.0,0.0,114.0,63.5,177.5,11.208231474407945
"(0.8, 0.85]",10.0,0.4851565301831211,0.8242096285843009,-0.09090909090909091,19.09090909090909,10.0,0.0,114.27272727272727,53.72727272727273,168.0,9.045788710015971
"(0.85, 0.9]",10.0,0.49106783651449515,0.8765675452915396,0.6,13.3,10.0,0.0,109.2,38.6,147.8,13.887756769374416
"(0.9, 0.95]",10.0,0.5115344901798788,0.9261871565737619,-0.06666666666666667,15.933333333333334,10.0,0.0,115.86666666666666,41.2,157.06666666666666,10.871474497581309
"(0.95, 1.0]",10.0,0.5071759249265998,0.9823172819771084,0.07692307692307693,17.076923076923077,10.0,0.0,115.53846153846153,37.46153846153846,153.0,10.221638003093112
