,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
0,10,0.4912431383245831,0.8585902962501443,1,18,10,0,116,45,161,8.944444444444445
1,10,0.47412044026751354,0.8074311590085268,-1,21,10,0,116,56,172,8.19047619047619
2,10,0.43743055828627386,0.5484961399167385,1,27,10,0,99,87,186,6.888888888888889
3,10,0.4080363164322977,0.5603011181973123,-1,25,10,0,106,87,193,7.72
4,10,0.6326924649460873,0.7327733010662738,-1,6,10,0,118,62,180,30.0
5,10,0.5337319447747688,0.990338514210894,1,22,10,0,120,54,174,7.909090909090909
6,10,0.48724454920582316,0.9956668767168761,1,27,10,0,121,52,173,6.407407407407407
7,10,0.4373357416857996,0.9456007310629494,1,14,10,0,109,39,148,10.571428571428571
8,10,0.5074826770061617,0.8274659049830128,1,18,10,0,115,44,159,8.833333333333334
9,10,0.498506010755932,0.7335871923042017,1,21,10,0,112,61,173,8.238095238095237
10,10,0.49929402891372615,0.5401074802311291,1,11,10,0,84,69,153,13.909090909090908
11,10,0.5122674397637599,0.7595180486215827,-1,11,10,0,110,57,167,15.181818181818182
12,10,0.48216225262909906,0.9423631308692719,-1,12,10,0,116,28,144,12.0
13,10,0.49373003761067646,0.7059513576533669,1,18,10,0,108,64,172,9.555555555555555
14,10,0.49285125210216385,0.8626416569589999,1,16,10,0,104,35,139,8.6875
15,10,0.3949426846029227,0.6420176050452479,-1,26,10,0,101,83,184,7.076923076923077
16,10,0.45721988658381285,0.5980257449450026,-1,21,10,0,101,84,185,8.80952380952381
17,10,0.4690075539179108,0.8413309303663725,-1,18,10,0,111,56,167,9.277777777777779
18,10,0.4537879896712156,0.8868222850524585,1,6,10,0,97,24,121,20.166666666666668
19,10,0.4968251170934922,0.7616971240610311,-1,17,10,0,117,69,186,10.941176470588236
20,10,0.38272283347244584,0.8302391719854942,1,25,10,0,112,58,170,6.8
21,10,0.5669055572969044,0.5236195757941122,1,12,10,0,102,101,203,16.916666666666668
22,10,0.5655959339813069,0.917365649467738,1,6,10,0,115,28,143,23.833333333333332
23,10,0.4963531096063662,0.8873061953280037,-1,12,10,0,112,34,146,12.166666666666666
24,10,0.41872791215446836,0.6394006692106587,-1,30,10,0,106,95,201,6.7
25,10,0.5039967126114465,0.9733877258805166,-1,8,10,0,112,22,134,16.75
26,10,0.548616688974264,0.5863981043154598,-1,10,10,0,102,78,180,18.0
27,10,0.5831492813171015,0.6759030760805892,1,15,10,0,113,84,197,13.133333333333333
28,10,0.6047886988360436,0.8994009867365249,1,10,10,0,120,40,160,16.0
29,10,0.4439946019862852,0.7387482004158048,-1,16,10,0,110,72,182,11.375
30,10,0.5662500111658421,0.9337911907995927,1,18,10,0,123,47,170,9.444444444444445
31,10,0.48709766778883923,0.9867561718619626,1,33,10,0,123,64,187,5.666666666666667
32,10,0.39288802673932915,0.5744754255051386,1,25,10,0,93,80,173,6.92
33,10,0.4044683202648261,0.7195232007245049,-1,22,10,0,97,65,162,7.363636363636363
34,10,0.4572271492886449,0.8653667172443487,1,6,10,0,93,27,120,20.0
35,10,0.4788342751790782,0.970201220002034,-1,14,10,0,114,31,145,10.357142857142858
36,10,0.4352216089339851,0.7476782706148349,1,21,10,0,105,54,159,7.571428571428571
37,10,0.578508925354287,0.5187904197896627,-1,14,10,0,106,106,212,15.142857142857142
38,10,0.539273074138972,0.5593271392415223,-1,17,10,0,116,92,208,12.235294117647058
39,10,0.5518924939201084,0.6375426866718168,-1,21,10,0,116,94,210,10.0
40,10,0.48646007897997756,0.8323992886112341,1,23,10,0,113,53,166,7.217391304347826
41,10,0.44020280085358765,0.5799394056088705,-1,22,10,0,95,88,183,8.318181818181818
