bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",10.0,0.47911884635626867,0.525630569215979,0.2,7.3,10.0,0.0,38.5,27.6,66.1,8.613095238095237
"(0.55, 0.6]",10.0,0.4843586838967992,0.5730455410761862,0.4,6.6,10.0,0.0,40.4,21.6,62.0,8.778333333333332
"(0.6, 0.65]",10.0,0.504881437129896,0.6339171929755246,0.25,8.875,10.0,0.0,69.125,22.375,91.5,9.962301587301587
"(0.65, 0.7]",10.0,0.5150083524687729,0.670018825241898,0.2,7.0,10.0,0.0,78.6,23.2,101.8,12.911363636363637
"(0.7, 0.75]",10.0,0.5050839801661411,0.7208002103597624,0.2,7.9,10.0,0.0,83.5,16.0,99.5,12.730971528471528
"(0.75, 0.8]",10.0,0.5443545560595595,0.7789904694006439,0.42857142857142855,7.714285714285714,10.0,0.0,114.42857142857143,15.857142857142858,130.28571428571428,18.09155328798186
"(0.8, 0.85]",10.0,0.49444307611122934,0.8251796859376306,0.0,8.0,10.0,0.0,105.6875,8.8125,114.5,15.64448051948052
"(0.85, 0.9]",10.0,0.48191741932722093,0.8733968137267549,0.0,6.875,10.0,0.0,105.75,4.625,110.375,16.733333333333334
"(0.9, 0.95]",10.0,0.5092606550522345,0.9292970300848237,-0.07692307692307693,6.3076923076923075,10.0,0.0,110.53846153846153,1.0,111.53846153846153,18.96456043956044
"(0.95, 1.0]",10.0,0.5006862373803981,0.9797773662862499,-0.07692307692307693,6.384615384615385,10.0,0.0,115.6923076923077,0.07692307692307693,115.76923076923077,19.864835164835164
