,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
0,1,0.36920906484340216,0.8692377163032218,1,3,1,0,4,0,4,1.3333333333333333
1,1,0.6959345557681753,0.5557619504945337,-1,2,1,0,1,3,4,2.0
2,1,0.5998296785289173,0.8203435244267281,1,9,1,0,117,7,124,13.777777777777779
3,1,0.5619731606541206,0.9092564052712621,-1,9,1,0,121,4,125,13.88888888888889
4,1,0.5096122285161004,0.7554896630316867,1,1,1,0,1,0,1,1.0
5,1,0.5050010045392849,0.8325187112630845,-1,4,1,0,12,0,12,3.0
6,1,0.5824988375333464,0.5605449707977934,1,2,1,0,3,0,3,1.5
7,1,0.44403139185243895,0.5553539000965964,-1,2,1,0,2,0,2,1.0
8,1,0.48124184685573534,0.8492792223412486,1,10,1,0,87,5,92,9.2
9,1,0.4319426728984386,0.8114197731683537,1,1,1,0,1,0,1,1.0
10,1,0.5027654277074622,0.6198888521109459,1,2,1,0,1,1,2,1.0
11,1,0.5289272913759602,0.5755076631931706,1,1,1,0,1,0,1,1.0
12,1,0.483762114444502,0.9333829451838648,-1,1,1,0,1,0,1,1.0
13,1,0.4305338222262729,0.5047762637942558,1,1,1,0,1,0,1,1.0
14,1,0.5453743618780477,0.9000769614677795,-1,3,1,0,5,0,5,1.6666666666666667
15,1,0.5861373241202769,0.8668284007272484,-1,2,1,0,3,0,3,1.5
16,1,0.4987032264345711,0.558944692859888,-1,2,1,0,3,0,3,1.5
17,1,0.5939706887882499,0.6208458135850541,1,3,1,0,1,2,3,1.0
18,1,0.4344438405782294,0.9449128890248533,-1,1,1,0,1,0,1,1.0
19,1,0.4208839760956739,0.5210686438960664,-1,2,1,0,2,0,2,1.0
20,1,0.48133741024951743,0.943995312794377,-1,12,1,0,116,0,116,9.666666666666666
21,1,0.48067105329915494,0.9815562417320047,1,3,1,0,11,0,11,3.6666666666666665
22,1,0.5110778634059802,0.6368956935165396,-1,1,1,0,1,0,1,1.0
23,1,0.512822920695662,0.9559688512858653,-1,9,1,0,120,0,120,13.333333333333334
24,1,0.59354532697787,0.9424911267264129,1,6,1,0,120,4,124,20.666666666666668
25,1,0.4519621506752734,0.893245298204379,1,11,1,0,87,4,91,8.272727272727273
26,1,0.5262785597188988,0.5367167556563868,1,1,1,0,1,0,1,1.0
27,1,0.5864630188368278,0.5537999243269947,1,1,1,0,1,0,1,1.0
28,1,0.44313285808400843,0.9356963417510665,-1,2,1,0,2,0,2,1.0
29,1,0.6152698362042849,0.6792913352596754,-1,2,1,0,4,0,4,2.0
30,1,0.5388585276878384,0.8160975020195995,1,1,1,0,1,0,1,1.0
31,1,0.44984952879323903,0.8002069364753012,-1,1,1,0,1,0,1,1.0
32,1,0.42343264565566824,0.9888457283007313,-1,3,1,0,10,0,10,3.3333333333333335
33,1,0.5998678997949306,0.8205999336106291,1,11,1,0,117,7,124,11.272727272727273
34,1,0.5073465062981225,0.6952359612254586,1,4,1,0,4,2,6,1.5
35,1,0.49185707835722514,0.7265389129064423,1,2,1,0,3,0,3,1.5
36,1,0.4943479922720468,0.9521021840355979,-1,9,1,0,119,0,119,13.222222222222221
37,1,0.5967475553350959,0.6784687874580266,-1,1,1,0,1,0,1,1.0
