bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",10.0,0.5031201855726029,0.530906418482964,-0.2,8.7,10.0,0.0,57.8,38.3,96.1,10.605231157731158
"(0.55, 0.6]",10.0,0.49279021232249176,0.5652576792900303,0.45454545454545453,7.181818181818182,10.0,0.0,60.54545454545455,30.0,90.54545454545455,11.859965034965034
"(0.6, 0.65]",10.0,0.4801671030254906,0.6308588432782263,0.2,7.0,10.0,0.0,65.2,13.4,78.6,11.220238095238095
"(0.65, 0.7]",10.0,0.4986233993312443,0.6725479791623553,-0.7142857142857143,6.714285714285714,10.0,0.0,74.57142857142857,19.428571428571427,94.0,13.1921768707483
"(0.7, 0.75]",10.0,0.5031428784978281,0.724574270687234,-0.2727272727272727,6.7272727272727275,10.0,0.0,90.27272727272727,16.636363636363637,106.9090909090909,16.303896103896104
"(0.75, 0.8]",10.0,0.548474195280784,0.7798640538757877,0.25,6.5,10.0,0.0,114.75,14.5,129.25,20.598809523809525
"(0.8, 0.85]",10.0,0.5092957734028953,0.8326865808926806,-0.25,6.5,10.0,0.0,107.4375,9.5,116.9375,18.583234126984127
"(0.85, 0.9]",10.0,0.5263572797835085,0.876788578221179,0.16666666666666666,5.75,10.0,0.0,115.25,5.666666666666667,120.91666666666667,22.018650793650792
"(0.9, 0.95]",10.0,0.4987706594930955,0.9217333378730423,0.0,5.375,10.0,0.0,119.0,2.75,121.75,22.84166666666667
"(0.95, 1.0]",10.0,0.4856873659441825,0.9805384981665372,0.3333333333333333,5.083333333333333,10.0,0.0,118.16666666666667,0.4166666666666667,118.58333333333333,23.740277777777777
