,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
0,10,0.6165253889606169,0.8122092625043131,-1,10,10,0,112,29,141,14.1
1,10,0.5187806386211635,0.8560887135349333,-1,5,10,0,40,4,44,8.8
2,10,0.4832968691904117,0.7533226118343466,-1,7,10,0,38,9,47,6.714285714285714
3,10,0.5135386591470636,0.6211495278452921,1,8,10,0,49,22,71,8.875
4,10,0.5012539423568022,0.9045318072093373,1,6,10,0,57,4,61,10.166666666666666
5,10,0.6388493914990898,0.6181563263864684,-1,10,10,0,112,79,191,19.1
6,10,0.5002577989806795,0.8160766239584205,-1,5,10,0,41,6,47,9.4
7,10,0.6243410667001712,0.6792055556847246,-1,12,10,0,112,55,167,13.916666666666666
8,10,0.4375939907748623,0.9340726999429587,1,6,10,0,52,2,54,9.0
9,10,0.45969561527103336,0.6000313541617557,-1,9,10,0,33,25,58,6.444444444444445
10,10,0.43045575154623655,0.9529050955354612,-1,3,10,0,23,0,23,7.666666666666667
11,10,0.49577793891231015,0.809369556650403,1,6,10,0,47,6,53,8.833333333333334
12,10,0.5902452168353309,0.6965429973425457,1,10,10,0,94,32,126,12.6
13,10,0.4906210938223158,0.8545736827028736,1,4,10,0,45,4,49,12.25
14,10,0.47187983087511254,0.5204175435040139,1,5,10,0,29,19,48,9.6
15,10,0.6564772021183741,0.6031805010228042,-1,10,10,0,112,81,193,19.3
16,10,0.525552856122412,0.5759617168098023,1,7,10,0,32,16,48,6.857142857142857
17,10,0.4423331541160068,0.6629465865138584,-1,4,10,0,14,11,25,6.25
18,10,0.5529135591143277,0.8039459938338609,1,10,10,0,97,16,113,11.3
19,10,0.5276672677219608,0.8433216154892634,-1,8,10,0,58,10,68,8.5
20,10,0.5402433586499374,0.5468943553825554,-1,9,10,0,53,47,100,11.11111111111111
21,10,0.45552645420655474,0.6388278354813495,-1,7,10,0,29,16,45,6.428571428571429
22,10,0.5047335651410652,0.6916277640605037,-1,9,10,0,40,19,59,6.555555555555555
23,10,0.5045513963403712,0.8067866331323372,-1,15,10,0,103,25,128,8.533333333333333
24,10,0.45623422434748084,0.8140250975032031,1,5,10,0,38,5,43,8.6
25,10,0.36929867289963236,0.7904724791579817,1,4,10,0,26,4,30,7.5
26,10,0.4776850500955075,0.8005938604064244,-1,6,10,0,31,5,36,6.0
27,10,0.4863974105069298,0.7839768291084281,-1,8,10,0,66,17,83,10.375
28,10,0.5957302125788623,0.6088487974443724,-1,12,10,0,105,72,177,14.75
29,10,0.5477467424014528,0.9509105022161927,-1,10,10,0,105,5,110,11.0
30,10,0.346501215493613,0.8353520595367765,-1,2,10,0,14,2,16,8.0
31,10,0.5171878004218486,0.7206786406662824,1,7,10,0,50,12,62,8.857142857142858
32,10,0.5173348749451337,0.722262034963707,-1,3,10,0,14,5,19,6.333333333333333
33,10,0.5569293830322419,0.5517385333973311,-1,7,10,0,55,43,98,14.0
34,10,0.4404785304211486,0.7197014712736675,-1,4,10,0,30,11,41,10.25
35,10,0.4662420213717833,0.8161741517027663,-1,7,10,0,37,5,42,6.0
36,10,0.4795350947138402,0.9479346625335416,-1,6,10,0,50,0,50,8.333333333333334
37,10,0.539767520723669,0.8793498973424843,-1,12,10,0,94,13,107,8.916666666666666
38,10,0.4986820346669832,0.8969252814861038,-1,10,10,0,59,5,64,6.4
39,10,0.39071515172180415,0.7417356608864052,-1,3,10,0,22,4,26,8.666666666666666
40,10,0.5577020787317688,0.7434121538907058,-1,10,10,0,91,31,122,12.2
41,10,0.4615901473415665,0.9306749796001272,-1,5,10,0,31,0,31,6.2
42,10,0.5262077132677448,0.7464900933464014,1,5,10,0,47,8,55,11.0
43,10,0.40169958799437877,0.7777219663660746,1,6,10,0,33,4,37,6.166666666666667
44,10,0.5476102957313596,0.9738095282821717,-1,10,10,0,107,0,107,10.7
45,10,0.5394720403535479,0.6604263521774774,1,5,10,0,44,19,63,12.6
46,10,0.46778621719740454,0.5848219328868876,1,6,10,0,35,16,51,8.5
47,10,0.6160096597292988,0.559027541719866,1,15,10,0,113,101,214,14.266666666666667
48,10,0.4465451779483936,0.6465976880805954,-1,8,10,0,32,20,52,6.5
49,10,0.5138523022290126,0.9931744849589985,1,9,10,0,110,0,110,12.222222222222221
50,10,0.544803388602654,0.6116930044537865,1,16,10,0,73,36,109,6.8125
51,10,0.4175084222650467,0.8493853220171331,1,5,10,0,47,4,51,10.2
52,10,0.4256649134954807,0.8871633818757094,1,5,10,0,44,3,47,9.4
53,10,0.5188421707236471,0.7128211878971191,1,7,10,0,62,17,79,11.285714285714286
54,10,0.5866086327164514,0.8215962511916504,1,9,10,0,107,20,127,14.11111111111111
55,10,0.5868070987760063,0.9940648018788414,1,7,10,0,117,0,117,16.714285714285715
56,10,0.5281651662429697,0.6466681434419322,1,9,10,0,39,17,56,6.222222222222222
57,10,0.4245529723583049,0.9969873677715655,1,4,10,0,44,0,44,11.0
58,10,0.3710235625179047,0.7058920871787134,-1,2,10,0,11,4,15,7.5
59,10,0.5559656720641648,0.5054419358657141,-1,11,10,0,50,49,99,9.0
60,10,0.46837632432725346,0.5445977479313051,-1,5,10,0,30,27,57,11.4
61,10,0.5791985377124672,0.9572156716695039,-1,8,10,0,107,3,110,13.75
62,10,0.5600865882328084,0.9189112744439176,-1,9,10,0,107,8,115,12.777777777777779
63,10,0.39696896191892933,0.607887265211515,1,4,10,0,23,6,29,7.25
64,10,0.4310563236360624,0.5245150957017211,1,5,10,0,24,15,39,7.8
65,10,0.4586545039292587,0.8027500097429447,-1,3,10,0,15,3,18,6.0
66,10,0.495353017291638,0.8699721092909438,-1,5,10,0,21,4,25,5.0
67,10,0.5186746412124826,0.9049619897587142,1,8,10,0,94,5,99,12.375
68,10,0.49538226234851174,0.9379229331423131,-1,5,10,0,48,2,50,10.0
69,10,0.5125584869132848,0.6889809442818995,-1,6,10,0,48,23,71,11.833333333333334
70,10,0.42463305782175487,0.5666604773908115,1,3,10,0,17,9,26,8.666666666666666
71,10,0.5329852010221637,0.8107788536072418,1,6,10,0,48,5,53,8.833333333333334
72,10,0.6199237984439261,0.9302923465340376,-1,7,10,0,117,9,126,18.0
73,10,0.4857361428435963,0.7180316858889475,-1,11,10,0,65,23,88,8.0
74,10,0.49749766985928123,0.5351694250406032,-1,7,10,0,32,28,60,8.571428571428571
75,10,0.37186840418459366,0.586124242649465,-1,3,10,0,12,9,21,7.0
76,10,0.5257592609844887,0.6640125247242947,-1,10,10,0,67,32,99,9.9
77,10,0.5652091500668092,0.950486722212543,1,7,10,0,116,5,121,17.285714285714285
78,10,0.43781453662002473,0.8978154334708355,1,7,10,0,38,3,41,5.857142857142857
79,10,0.4981325662769735,0.8164304458764837,-1,6,10,0,39,9,48,8.0
80,10,0.4959601185974772,0.7285156459585207,1,6,10,0,48,6,54,9.0
81,10,0.5524762035512385,0.8511989924194496,-1,6,10,0,34,4,38,6.333333333333333
82,10,0.5332766178147623,0.619983318903855,-1,15,10,0,56,37,93,6.2
83,10,0.516220932082537,0.6195598476813635,1,8,10,0,47,22,69,8.625
84,10,0.637240491640957,0.6923619279132937,-1,8,10,0,109,49,158,19.75
85,10,0.4657043842120166,0.6426230438494118,-1,5,10,0,21,14,35,7.0
86,10,0.47536325424786197,0.6244670505773436,-1,6,10,0,14,11,25,4.166666666666667
87,10,0.46781453237833376,0.5895812817204737,1,6,10,0,31,16,47,7.833333333333333
88,10,0.5022370144985451,0.7550624200990628,-1,5,10,0,40,12,52,10.4
89,10,0.4418800999891728,0.5683989019385334,-1,4,10,0,9,10,19,4.75
90,10,0.5198106849941755,0.7135448092841499,1,5,10,0,47,10,57,11.4
91,10,0.4145452044173112,0.8245597751596767,1,5,10,0,38,3,41,8.2
92,10,0.5281031715214396,0.7163773132449996,1,6,10,0,59,15,74,12.333333333333334
93,10,0.49021026698436815,0.9573451872159575,1,6,10,0,67,2,69,11.5
94,10,0.4806338597920242,0.8334732766558397,1,5,10,0,45,4,49,9.8
95,10,0.5923124018639778,0.6664289892783439,1,13,10,0,98,46,144,11.076923076923077
96,10,0.48737569446657764,0.7009295473301087,1,5,10,0,38,11,49,9.8
97,10,0.6085215130208663,0.6526232411765975,-1,10,10,0,107,60,167,16.7
98,10,0.46775695019765945,0.817844543699729,-1,4,10,0,21,3,24,6.0
99,10,0.5190037948821581,0.642632180383568,-1,9,10,0,48,28,76,8.444444444444445
