bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",10.0,0.4712642534054916,0.520560983251133,0.0,12.166666666666666,10.0,0.0,72.16666666666667,62.833333333333336,135.0,12.927789802789803
"(0.55, 0.6]",10.0,0.49026357033281054,0.5801545524315094,-0.5,14.0,10.0,0.0,80.25,66.75,147.0,11.269335699023198
"(0.6, 0.65]",10.0,0.5036958994437449,0.6199381597026511,0.1111111111111111,17.77777777777778,10.0,0.0,95.66666666666667,66.0,161.66666666666666,10.411255424069788
"(0.65, 0.7]",10.0,0.5353333848058122,0.6768659889023283,0.38461538461538464,11.846153846153847,10.0,0.0,97.23076923076923,54.07692307692308,151.30769230769232,14.362598832791141
"(0.7, 0.75]",10.0,0.485337325045918,0.7236634171545064,0.14285714285714285,14.857142857142858,10.0,0.0,94.0,49.142857142857146,143.14285714285714,10.22424879042526
"(0.75, 0.8]",10.0,0.4820837164992531,0.7729681917984824,0.8,14.6,10.0,0.0,95.0,38.7,133.7,10.050490335687703
"(0.8, 0.85]",10.0,0.5156232494765359,0.8255149436630606,-0.25,11.375,10.0,0.0,104.5,29.25,133.75,11.98261217948718
"(0.85, 0.9]",10.0,0.504433852558481,0.8772816575863946,0.07692307692307693,14.538461538461538,10.0,0.0,103.84615384615384,25.0,128.84615384615384,10.350897927608454
"(0.9, 0.95]",10.0,0.5180619655670484,0.9219831107330696,-0.06666666666666667,12.133333333333333,10.0,0.0,105.66666666666667,19.266666666666666,124.93333333333334,12.115775314010609
"(0.95, 1.0]",10.0,0.4857802179511142,0.9701854332605385,0.2727272727272727,14.909090909090908,10.0,0.0,105.54545454545455,20.09090909090909,125.63636363636364,9.71727731205992
