bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",10.0,0.5392313011066598,0.5168158640641468,0.0,6.166666666666667,10.0,0.0,34.166666666666664,29.833333333333332,64.0,9.062830687830688
"(0.55, 0.6]",10.0,0.5385130460246542,0.5726565207743545,-0.09090909090909091,6.454545454545454,10.0,0.0,39.72727272727273,21.545454545454547,61.27272727272727,8.835064935064935
"(0.6, 0.65]",10.0,0.48234571534238424,0.6280328596434877,0.25,4.75,10.0,0.0,25.625,8.0,33.625,7.143750000000001
"(0.65, 0.7]",10.0,0.5161029084449307,0.6776976903052923,0.25,8.0,10.0,0.0,76.375,16.625,93.0,11.031029040404041
"(0.7, 0.75]",10.0,0.5399417779726456,0.72092531532994,-0.2,7.9,10.0,0.0,88.9,14.3,103.2,13.441212121212121
"(0.75, 0.8]",10.0,0.5007040054276458,0.7807109754610178,0.2727272727272727,8.0,10.0,0.0,86.45454545454545,10.0,96.45454545454545,12.0493450993451
"(0.8, 0.85]",10.0,0.469163657544673,0.8277565477151211,-0.09090909090909091,6.7272727272727275,10.0,0.0,86.81818181818181,5.909090909090909,92.72727272727273,14.044011544011545
"(0.85, 0.9]",10.0,0.4744039741190245,0.8756069879673065,0.5,6.5,10.0,0.0,88.125,6.25,94.375,14.08590367965368
"(0.9, 0.95]",10.0,0.49824505420360926,0.9316622729594219,0.16666666666666666,7.0,10.0,0.0,111.08333333333333,2.1666666666666665,113.25,17.057765151515152
"(0.95, 1.0]",10.0,0.48678281716645644,0.9751565605919769,-0.06666666666666667,6.6,10.0,0.0,113.66666666666667,0.3333333333333333,114.0,18.056296296296296
