,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
0,10,0.5327930649865461,0.8536612734971067,1,7,10,0,109,10,119,17.0
1,10,0.6258554570249129,0.7079097968298773,-1,8,10,0,115,22,137,17.125
2,10,0.5215889791585326,0.5613071781796449,1,7,10,0,28,12,40,5.714285714285714
3,10,0.6579077067190091,0.5367059746566392,1,9,10,0,110,93,203,22.555555555555557
4,10,0.5247969005652385,0.7098850289776417,1,9,10,0,100,14,114,12.666666666666666
5,10,0.5113469650822425,0.5587571602844139,-1,5,10,0,22,20,42,8.4
6,10,0.5401189294287867,0.9416935530816644,-1,6,10,0,120,1,121,20.166666666666668
7,10,0.5200232006202203,0.5053381657977468,-1,7,10,0,23,21,44,6.285714285714286
8,10,0.5002112895202444,0.9906996588467057,-1,6,10,0,116,0,116,19.333333333333332
9,10,0.4992498814471062,0.8807190119175179,-1,7,10,0,114,5,119,17.0
10,10,0.4768075970636031,0.9475022285326085,1,7,10,0,109,1,110,15.714285714285714
11,10,0.5903773715982489,0.5699920500705679,-1,6,10,0,38,14,52,8.666666666666666
12,10,0.4058033591266422,0.7835004529982347,-1,4,10,0,33,3,36,9.0
13,10,0.46343249170563944,0.6314144214555965,1,4,10,0,24,9,33,8.25
14,10,0.4184529334754517,0.7956512958511253,1,5,10,0,35,3,38,7.6
15,10,0.537423484389009,0.7325903750993765,-1,10,10,0,91,11,102,10.2
16,10,0.5935877321844777,0.93825555005227,1,6,10,0,122,5,127,21.166666666666668
17,10,0.4611036268733009,0.6029747359992086,1,6,10,0,22,11,33,5.5
18,10,0.5236694666734165,0.5857871794004901,1,4,10,0,34,15,49,12.25
19,10,0.5801656165212435,0.5840181003052416,-1,9,10,0,76,29,105,11.666666666666666
20,10,0.4593472484480372,0.9238180859345744,1,8,10,0,104,3,107,13.375
21,10,0.49532870785075506,0.6170691300894047,-1,5,10,0,23,4,27,5.4
22,10,0.43928517263244254,0.5918257973143184,-1,3,10,0,17,4,21,7.0
23,10,0.5537995974932204,0.8164640823846591,-1,6,10,0,115,6,121,20.166666666666668
24,10,0.5074560438617322,0.6567481733422541,-1,8,10,0,68,13,81,10.125
25,10,0.5599299888787576,0.8793998368158511,-1,7,10,0,116,5,121,17.285714285714285
26,10,0.48879700326681197,0.9466191915651995,-1,7,10,0,114,0,114,16.285714285714285
27,10,0.5117846265526147,0.7729787998796784,-1,9,10,0,98,9,107,11.88888888888889
28,10,0.5912668989853231,0.9174105736237725,-1,6,10,0,123,3,126,21.0
29,10,0.43045139778537095,0.6274610154196131,1,3,10,0,10,10,20,6.666666666666667
30,10,0.43992607787599525,0.8521134877391245,1,11,10,0,99,9,108,9.818181818181818
