,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
0,10,0.40866815453683236,0.8854128382061649,-1,21,10,0,104,38,142,6.761904761904762
1,10,0.6363342732792978,0.6682627993369117,1,14,10,0,120,76,196,14.0
2,10,0.4242998704434311,0.6133720662579136,-1,18,10,0,91,80,171,9.5
3,10,0.5034886325676178,0.6220066056414291,-1,22,10,0,116,99,215,9.772727272727273
4,10,0.4158533259886459,0.8747627529967428,-1,20,10,0,102,48,150,7.5
5,10,0.4060911753557701,0.5221830981933031,1,24,10,0,100,75,175,7.291666666666667
6,10,0.629871526709187,0.6513720662434721,1,15,10,0,122,92,214,14.266666666666667
7,10,0.39742428280236597,0.6204294592143801,-1,20,10,0,90,82,172,8.6
8,10,0.3619519710723721,0.6976758644611348,1,14,10,0,89,46,135,9.642857142857142
9,10,0.6666693789874343,0.704935096373426,1,13,10,0,123,77,200,15.384615384615385
10,10,0.5549799738719521,0.9720467046245282,-1,10,10,0,112,18,130,13.0
11,10,0.47864966394994535,0.7669717537308125,-1,12,10,0,94,62,156,13.0
12,10,0.43942546747643396,0.6983906418443057,-1,19,10,0,104,77,181,9.526315789473685
13,10,0.5297974296553593,0.5070763679346906,1,12,10,0,100,80,180,15.0
14,10,0.4597461036970514,0.7420722052667805,1,24,10,0,105,69,174,7.25
15,10,0.5399229331526819,0.9397406834840627,-1,22,10,0,120,45,165,7.5
16,10,0.48512488142693566,0.7130821486866701,1,18,10,0,110,60,170,9.444444444444445
17,10,0.5088043350790631,0.5203621263514266,1,9,10,0,103,80,183,20.333333333333332
18,10,0.5584784181123398,0.5676038223723701,1,18,10,0,110,90,200,11.11111111111111
19,10,0.5474522160998434,0.8405733808104436,-1,15,10,0,112,44,156,10.4
20,10,0.5065579472978604,0.507348060251674,-1,16,10,0,92,100,192,12.0
21,10,0.5364048143143296,0.8061066722402972,-1,16,10,0,115,70,185,11.5625
22,10,0.4855456132031107,0.8910979418669686,1,6,10,0,103,26,129,21.5
23,10,0.5637145931996261,0.7933003122781008,-1,10,10,0,105,49,154,15.4
24,10,0.4542806447658776,0.8300954929818724,-1,20,10,0,107,52,159,7.95
25,10,0.5217230372753627,0.6875718724192368,1,8,10,0,100,45,145,18.125
26,10,0.4268794382128979,0.8872604878451991,1,11,10,0,104,36,140,12.727272727272727
27,10,0.39680918287540945,0.9184048457382665,1,16,10,0,101,43,144,9.0
28,10,0.5397943243196501,0.5632084163239742,1,20,10,0,105,84,189,9.45
29,10,0.5759697456300249,0.5663446089442599,1,20,10,0,116,95,211,10.55
30,10,0.4633077131374833,0.58743112656428,-1,16,10,0,95,92,187,11.6875
31,10,0.642843826269424,0.9332711736294246,1,18,10,0,122,56,178,9.88888888888889
32,10,0.5210910364359046,0.9858197638128156,-1,16,10,0,115,36,151,9.4375
33,10,0.6469421723339366,0.9389844295578048,1,24,10,0,121,66,187,7.791666666666667
34,10,0.4935418593637088,0.671107531749995,1,33,10,0,119,98,217,6.575757575757576
35,10,0.36933774849092915,0.9927717812907657,1,20,10,0,97,39,136,6.8
36,10,0.5137129344286289,0.836369720099609,1,15,10,0,109,37,146,9.733333333333333
37,10,0.5968978715297667,0.5731622806030998,1,12,10,0,110,87,197,16.416666666666668
38,10,0.45387706888363466,0.8788679400036459,1,9,10,0,103,27,130,14.444444444444445
39,10,0.4967918409310309,0.8500628216974675,-1,21,10,0,112,50,162,7.714285714285714
40,10,0.4736763902305791,0.5829458804351436,-1,22,10,0,90,87,177,8.045454545454545
41,10,0.4422794860413855,0.6487260551791718,-1,21,10,0,102,92,194,9.238095238095237
42,10,0.4980039524980063,0.9382465039374681,-1,17,10,0,110,35,145,8.529411764705882
43,10,0.5745814426611612,0.881923939023082,1,15,10,0,121,51,172,11.466666666666667
44,10,0.45740509822921926,0.8144139003488733,-1,16,10,0,101,44,145,9.0625
45,10,0.5324959360966987,0.933873492151899,-1,19,10,0,118,50,168,8.842105263157896
46,10,0.4495564886550568,0.7065720169879457,-1,10,10,0,79,53,132,13.2
47,10,0.47897361360811463,0.7982800660264058,-1,24,10,0,111,72,183,7.625
48,10,0.6262798669523745,0.5664933619953227,1,13,10,0,114,93,207,15.923076923076923
49,10,0.4834904178091847,0.9080395087803395,1,9,10,0,114,27,141,15.666666666666666
50,10,0.510539450691951,0.7186024520162133,-1,10,10,0,87,55,142,14.2
51,10,0.40936612152367907,0.631803067562799,1,21,10,0,103,72,175,8.333333333333334
52,10,0.42073668576661744,0.8743183156413415,1,13,10,0,104,36,140,10.76923076923077
53,10,0.5244281911198028,0.9937401524499726,1,11,10,0,117,26,143,13.0
54,10,0.6011810353306655,0.7858875802271237,1,8,10,0,111,38,149,18.625
55,10,0.5708015596235365,0.6112779021262453,1,22,10,0,117,96,213,9.681818181818182
56,10,0.48530813064600364,0.6464994104751367,-1,19,10,0,98,86,184,9.68421052631579
57,10,0.44212137194153966,0.7056616983239552,-1,26,10,0,104,78,182,7.0
58,10,0.5916259556600063,0.6436634309763947,1,14,10,0,112,71,183,13.071428571428571
59,10,0.5197334202515356,0.9950103698234956,-1,28,10,0,117,55,172,6.142857142857143
60,10,0.5389600957114982,0.9598299880060377,1,15,10,0,121,42,163,10.866666666666667
61,10,0.5228340547438923,0.7602693526256613,1,11,10,0,105,42,147,13.363636363636363
62,10,0.31112413608869427,0.6328384055704692,-1,17,10,0,64,47,111,6.529411764705882
63,10,0.5609264285463812,0.6810127880961435,-1,11,10,0,111,84,195,17.727272727272727
64,10,0.5684113982692189,0.5923566019114532,1,19,10,0,108,79,187,9.842105263157896
65,10,0.5256189903714721,0.8623758723520538,1,15,10,0,116,47,163,10.866666666666667
66,10,0.47169472859779366,0.8111700496897731,1,18,10,0,109,51,160,8.88888888888889
67,10,0.529587232290214,0.7396295969191955,1,23,10,0,114,80,194,8.434782608695652
68,10,0.591904984907094,0.6599280327080992,-1,15,10,0,116,97,213,14.2
69,10,0.5097799198460169,0.5174490369152753,1,21,10,0,104,94,198,9.428571428571429
70,10,0.4271445991375226,0.935889321793031,-1,27,10,0,119,59,178,6.592592592592593
71,10,0.4821079089556256,0.987755246984982,-1,12,10,0,105,31,136,11.333333333333334
72,10,0.4821011723308623,0.8843594464689944,1,19,10,0,119,49,168,8.842105263157896
73,10,0.4633891892734046,0.8084283971619004,-1,25,10,0,110,68,178,7.12
74,10,0.5325364988310043,0.8903057700834074,-1,18,10,0,113,48,161,8.944444444444445
75,10,0.6609727482518294,0.5791584883737049,1,8,10,0,116,91,207,25.875
