bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",10.0,0.525163150947358,0.5182001762044978,0.42857142857142855,14.428571428571429,10.0,0.0,100.14285714285714,86.42857142857143,186.57142857142858,15.147108843537413
"(0.55, 0.6]",10.0,0.5472240585902407,0.576444881231891,0.45454545454545453,16.727272727272727,10.0,0.0,104.72727272727273,87.9090909090909,192.63636363636363,12.816749803890952
"(0.6, 0.65]",10.0,0.4659221963396626,0.6304058578390836,-0.4,19.0,10.0,0.0,100.6,82.0,182.6,9.741102488842426
"(0.65, 0.7]",10.0,0.5006004762243842,0.6774514834612235,0.2727272727272727,16.09090909090909,10.0,0.0,108.0,74.18181818181819,182.1818181818182,12.356816455739901
"(0.7, 0.75]",10.0,0.4927746660935386,0.720953588693863,-0.1111111111111111,16.666666666666668,10.0,0.0,100.0,66.11111111111111,166.11111111111111,10.89278383988529
"(0.75, 0.8]",10.0,0.528589246295656,0.7785826535025154,0.0,17.666666666666668,10.0,0.0,110.5,62.0,172.5,11.039784373394212
"(0.8, 0.85]",10.0,0.4819187487792206,0.8215194570333183,-0.5,18.75,10.0,0.0,109.0,54.25,163.25,8.974652777777777
"(0.85, 0.9]",10.0,0.4637201963977141,0.8753937117859685,0.23076923076923078,15.923076923076923,10.0,0.0,107.84615384615384,43.69230769230769,151.53846153846155,10.583009747787077
"(0.9, 0.95]",10.0,0.5112191916754122,0.9297037008996778,0.0,20.1,10.0,0.0,116.7,49.8,166.5,8.911659500057333
"(0.95, 1.0]",10.0,0.5120016454325342,0.9819434353004487,0.1111111111111111,16.0,10.0,0.0,113.22222222222223,36.0,149.22222222222223,10.409089602024386
