,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
0,10,0.5315203081426264,0.7225217593912763,-1,8,10,0,103,27,130,16.25
1,10,0.35294081954843876,0.7817184856713081,-1,9,10,0,43,3,46,5.111111111111111
2,10,0.5324540276183966,0.6044365341135887,-1,10,10,0,86,34,120,12.0
3,10,0.40267823411552206,0.9219771622611868,-1,7,10,0,82,3,85,12.142857142857142
4,10,0.3590580516045655,0.5029260929289356,1,5,10,0,28,12,40,8.0
5,10,0.6134389133925708,0.5301018829208809,-1,12,10,0,89,56,145,12.083333333333334
6,10,0.444517507113243,0.5825129392168777,-1,6,10,0,23,12,35,5.833333333333333
7,10,0.4431773470415314,0.6693007152691034,1,8,10,0,59,13,72,9.0
8,10,0.38469691767170433,0.7530685958183563,1,7,10,0,45,3,48,6.857142857142857
9,10,0.38820411155171153,0.6333213142398554,-1,6,10,0,26,10,36,6.0
