,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
0,10,0.4280292587159298,0.6065644486735937,1,29,10,0,78,65,143,4.931034482758621
1,10,0.5326267584557156,0.5607735295850751,1,22,10,0,91,84,175,7.954545454545454
2,10,0.5672394494296252,0.5242305699655461,-1,17,10,0,104,87,191,11.235294117647058
3,10,0.4727742626084543,0.8289640670016964,-1,17,10,0,106,18,124,7.294117647058823
4,10,0.3613094660485323,0.660038611278805,-1,9,10,0,39,9,48,5.333333333333333
5,10,0.6366239098637978,0.9465141773509596,1,8,10,0,121,13,134,16.75
6,10,0.4935794580448042,0.9221646219084377,-1,20,10,0,112,25,137,6.85
7,10,0.41829183299827344,0.7325283174204523,-1,5,10,0,40,4,44,8.8
8,10,0.3868199370073694,0.8690639172887857,-1,7,10,0,48,9,57,8.142857142857142
9,10,0.5324001284074378,0.8228449184397093,1,9,10,0,109,32,141,15.666666666666666
10,10,0.4302743346760376,0.9816517634463486,-1,9,10,0,100,14,114,12.666666666666666
11,10,0.5092878874030082,0.7992121283090099,-1,18,10,0,109,33,142,7.888888888888889
12,10,0.5087075102229283,0.7562531680347613,1,13,10,0,94,43,137,10.538461538461538
13,10,0.5381535115292873,0.7440308637343949,-1,11,10,0,105,32,137,12.454545454545455
14,10,0.42115254420708065,0.9777239093613235,1,14,10,0,83,23,106,7.571428571428571
15,10,0.33017130029413255,0.6763049955687837,1,33,10,0,74,56,130,3.9393939393939394
16,10,0.5546093415121607,0.5817440167597926,1,16,10,0,107,86,193,12.0625
17,10,0.37740308984622284,0.6209701050176526,1,12,10,0,42,30,72,6.0
18,10,0.5509528494493922,0.9383222112704882,1,15,10,0,110,27,137,9.133333333333333
19,10,0.5095894571820752,0.879456401239553,1,21,10,0,107,38,145,6.904761904761905
20,10,0.5177801192951448,0.955551043784705,-1,7,10,0,102,6,108,15.428571428571429
21,10,0.5269431510463608,0.8888316566655423,1,10,10,0,102,18,120,12.0
22,10,0.5302345637012904,0.7066919390837405,1,15,10,0,103,52,155,10.333333333333334
23,10,0.5285556144398216,0.6713321969797805,-1,24,10,0,109,63,172,7.166666666666667
24,10,0.4147415916929089,0.5135753861794898,1,21,10,0,55,71,126,6.0
25,10,0.48644370945607357,0.6374048564443326,1,23,10,0,85,54,139,6.043478260869565
26,10,0.6666400235261958,0.8195643941675489,1,8,10,0,120,34,154,19.25
27,10,0.5401297125449938,0.8183027492880233,1,18,10,0,113,43,156,8.666666666666666
28,10,0.30763081357038713,0.5697677254669457,1,6,10,0,17,19,36,6.0
29,10,0.6060830601278874,0.6983650032429212,-1,12,10,0,117,52,169,14.083333333333334
30,10,0.5934170929144948,0.7470978841281144,-1,10,10,0,103,28,131,13.1
31,10,0.4468858723843807,0.5417122140459263,1,18,10,0,58,54,112,6.222222222222222
32,10,0.42440748250549215,0.5355992681538457,1,27,10,0,73,64,137,5.074074074074074
33,10,0.49304315490751477,0.9388077973569656,1,10,10,0,102,15,117,11.7
34,10,0.4333989135555891,0.8757006806053913,-1,18,10,0,97,26,123,6.833333333333333
35,10,0.470799200349412,0.720649664673199,1,19,10,0,91,46,137,7.2105263157894735
36,10,0.4223026136153838,0.6819092852606425,1,16,10,0,79,41,120,7.5
37,10,0.3479353399241437,0.7809243709478225,1,17,10,0,76,36,112,6.588235294117647
38,10,0.6523963507060612,0.9274854861240385,1,9,10,0,120,21,141,15.666666666666666
39,10,0.47318231137339234,0.7384160407206163,-1,24,10,0,102,40,142,5.916666666666667
40,10,0.5757617743928949,0.9320457138498998,1,8,10,0,105,17,122,15.25
41,10,0.5450922927463178,0.5474346623603348,1,25,10,0,92,87,179,7.16
42,10,0.54759551878839,0.8232904796555734,1,10,10,0,107,32,139,13.9
43,10,0.4770620194627028,0.6841824765394899,-1,17,10,0,91,45,136,8.0
44,10,0.46237482601959035,0.9522744393712115,1,30,10,0,110,46,156,5.2
45,10,0.5312755561140066,0.6981195517290636,-1,12,10,0,92,28,120,10.0
46,10,0.5950863563765816,0.760563639378709,1,21,10,0,119,61,180,8.571428571428571
47,10,0.49767524127556806,0.5426624696944783,-1,13,10,0,57,25,82,6.3076923076923075
48,10,0.5592477825214017,0.9732318105428992,1,19,10,0,109,19,128,6.7368421052631575
49,10,0.4700405306003317,0.774159067136416,-1,16,10,0,92,25,117,7.3125
50,10,0.5503112604834823,0.5482209489884886,-1,16,10,0,98,75,173,10.8125
51,10,0.5226464186015489,0.8033034462105508,1,13,10,0,92,35,127,9.76923076923077
52,10,0.49339601833266405,0.9475330766863508,1,34,10,0,113,45,158,4.647058823529412
53,10,0.357263731990457,0.7193585243821958,-1,9,10,0,52,13,65,7.222222222222222
54,10,0.4781475949536037,0.9983797046878804,-1,17,10,0,114,27,141,8.294117647058824
55,10,0.5343375778251002,0.9114264884115143,-1,8,10,0,105,6,111,13.875
56,10,0.4453968482723355,0.9813306436505672,-1,18,10,0,104,18,122,6.777777777777778
57,10,0.4233455599991841,0.9075330269071807,1,16,10,0,78,27,105,6.5625
58,10,0.5536652041102286,0.6319727848153665,-1,20,10,0,114,79,193,9.65
59,10,0.5590651787181058,0.5834163630949483,-1,19,10,0,109,80,189,9.947368421052632
60,10,0.6279125612746888,0.6321041061604609,-1,12,10,0,118,80,198,16.5
61,10,0.3544797140622593,0.6120254758071979,-1,22,10,0,64,41,105,4.7727272727272725
62,10,0.5667039876958581,0.878716386591582,1,14,10,0,120,34,154,11.0
63,10,0.5131775565087054,0.9213051861776358,1,14,10,0,106,31,137,9.785714285714286
64,10,0.5664884819098115,0.9823128300301607,1,11,10,0,109,9,118,10.727272727272727
65,10,0.4712794901340663,0.885405370469127,-1,21,10,0,111,24,135,6.428571428571429
66,10,0.4411153746247167,0.5666759055207767,1,30,10,0,87,81,168,5.6
67,10,0.4911190014154166,0.8569414573625929,-1,20,10,0,114,28,142,7.1
68,10,0.5149611509510922,0.7994685205652539,1,21,10,0,107,52,159,7.571428571428571
69,10,0.560646007424558,0.5632653997026318,-1,19,10,0,107,79,186,9.789473684210526
70,10,0.546751315021377,0.5537798327125742,-1,7,10,0,45,14,59,8.428571428571429
71,10,0.4455011670389167,0.5978727562681432,1,18,10,0,62,52,114,6.333333333333333
72,10,0.47261726405455073,0.6902578251878557,1,19,10,0,79,47,126,6.631578947368421
73,10,0.5204846263338956,0.8208608486112092,1,20,10,0,116,45,161,8.05
74,10,0.6256894939729358,0.8083521383262895,1,9,10,0,117,36,153,17.0
75,10,0.4230149958750115,0.8439899649568077,-1,8,10,0,53,9,62,7.75
76,10,0.43439359985195747,0.715186014052515,-1,17,10,0,81,27,108,6.352941176470588
77,10,0.4625738688968981,0.7152544270330712,1,24,10,0,94,50,144,6.0
78,10,0.5024141988453998,0.9009841022074723,-1,10,10,0,105,11,116,11.6
79,10,0.5385325899884242,0.8381126614887537,1,19,10,0,114,44,158,8.31578947368421
80,10,0.42039473484321466,0.9449151349139036,-1,18,10,0,105,29,134,7.444444444444445
81,10,0.5910004082210807,0.7360022559015948,1,11,10,0,111,47,158,14.363636363636363
82,10,0.48889803128521847,0.8560415456397641,1,15,10,0,104,33,137,9.133333333333333
83,10,0.3174342510752356,0.5055968724199474,-1,14,10,0,50,25,75,5.357142857142857
84,10,0.4610657671956327,0.9168909621144096,-1,16,10,0,108,15,123,7.6875
85,10,0.4871692366812419,0.5280090453550836,-1,28,10,0,96,79,175,6.25
86,10,0.4775164511775675,0.8710770744237644,1,16,10,0,93,25,118,7.375
87,10,0.49824648313333,0.9258776892640439,1,11,10,0,97,23,120,10.909090909090908
88,10,0.47831358984023986,0.9601700887849153,1,13,10,0,91,14,105,8.076923076923077
89,10,0.5675098405212174,0.664801558783747,-1,21,10,0,109,58,167,7.9523809523809526
90,10,0.32631714840201037,0.6673373480769784,-1,28,10,0,69,45,114,4.071428571428571
91,10,0.4360816559352265,0.7834275656715022,-1,25,10,0,101,39,140,5.6
92,10,0.5426457220276537,0.7681442563752056,1,8,10,0,101,35,136,17.0
93,10,0.5635028482739864,0.5300083721818541,-1,20,10,0,104,83,187,9.35
94,10,0.563077829504369,0.999337973671188,1,8,10,0,115,13,128,16.0
95,10,0.44272315118259736,0.6847984378936887,1,13,10,0,83,38,121,9.307692307692308
96,10,0.44133269308605005,0.5678567664333236,-1,17,10,0,59,35,94,5.529411764705882
97,10,0.428316106936787,0.6360176081720064,1,19,10,0,77,43,120,6.315789473684211
98,10,0.5443741454780642,0.708950617892882,1,11,10,0,93,44,137,12.454545454545455
99,10,0.568873100066152,0.9825609378134672,-1,17,10,0,122,23,145,8.529411764705882
