bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",10.0,0.4814459526548239,0.5317049809344995,-0.2,19.9,10.0,0.0,78.7,65.0,143.7,7.376892557877852
"(0.55, 0.6]",10.0,0.48769762771688746,0.5716835883938012,0.1111111111111111,17.11111111111111,10.0,0.0,76.0,58.888888888888886,134.88888888888889,7.960578231824361
"(0.6, 0.65]",10.0,0.46517852062888426,0.6252941978700873,0.14285714285714285,19.571428571428573,10.0,0.0,82.57142857142857,56.0,138.57142857142858,7.744718498577096
"(0.65, 0.7]",10.0,0.46053882129662205,0.6797679355037961,-0.2727272727272727,18.545454545454547,10.0,0.0,85.54545454545455,43.81818181818182,129.36363636363637,7.635073459236139
"(0.7, 0.75]",10.0,0.4921531152095098,0.7258333226384343,-0.09090909090909091,14.181818181818182,10.0,0.0,88.63636363636364,34.81818181818182,123.45454545454545,9.473492453382688
"(0.75, 0.8]",10.0,0.49059326918012075,0.777769089552335,0.25,17.375,10.0,0.0,99.875,40.5,140.375,8.883867858040652
"(0.8, 0.85]",10.0,0.5389907770647288,0.8227585668146162,0.6,13.1,10.0,0.0,104.7,32.8,137.5,11.566247122330713
"(0.85, 0.9]",10.0,0.48358538005550233,0.8734704989206781,0.1111111111111111,15.777777777777779,10.0,0.0,99.55555555555556,26.11111111111111,125.66666666666667,8.32420634920635
"(0.9, 0.95]",10.0,0.5177668138605497,0.92727183389595,0.2857142857142857,14.071428571428571,10.0,0.0,106.21428571428571,21.785714285714285,128.0,10.561522033055647
"(0.95, 1.0]",10.0,0.4991933682968879,0.9767750131949697,0.09090909090909091,14.818181818181818,10.0,0.0,105.36363636363636,19.272727272727273,124.63636363636364,9.63718288778801
