,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
0,10,0.49985704822207133,0.6343713884378392,-1,9,10,0,59,11,70,7.777777777777778
1,10,0.48411545972571274,0.8573977394130885,-1,6,10,0,83,2,85,14.166666666666666
2,10,0.5789730982737902,0.8806424202789067,1,6,10,0,120,8,128,21.333333333333332
3,10,0.48622201908089296,0.7310146285538236,-1,9,10,0,76,8,84,9.333333333333334
4,10,0.5075406373066199,0.6241644950725523,1,2,10,0,12,6,18,9.0
5,10,0.5140733918042448,0.811339647386399,-1,7,10,0,80,3,83,11.857142857142858
6,10,0.4677760773982144,0.6102691929285072,-1,9,10,0,57,10,67,7.444444444444445
7,10,0.5789067945858245,0.9255938384599376,1,7,10,0,121,5,126,18.0
8,10,0.6374717380265947,0.5413571295741699,1,11,10,0,93,71,164,14.909090909090908
9,10,0.515779040255401,0.7079564243087131,1,6,10,0,39,11,50,8.333333333333334
10,10,0.43060722725942546,0.5292161260786306,-1,3,10,0,10,7,17,5.666666666666667
11,10,0.5474262857260319,0.6694218043071909,1,5,10,0,23,9,32,6.4
12,10,0.3841623419748986,0.9269335492045456,-1,7,10,0,73,0,73,10.428571428571429
13,10,0.43352310184292486,0.7820458432658491,1,5,10,0,24,6,30,6.0
14,10,0.5432264983755788,0.7492815766740294,-1,6,10,0,83,7,90,15.0
15,10,0.41357411856191223,0.5671658019395021,1,3,10,0,10,8,18,6.0
16,10,0.5763693349569076,0.6580028571319125,-1,8,10,0,70,7,77,9.625
17,10,0.500377032064534,0.5492486316398231,1,3,10,0,12,7,19,6.333333333333333
18,10,0.5208741617046754,0.8051897978393019,-1,7,10,0,78,3,81,11.571428571428571
19,10,0.4838537456397535,0.6422969265678116,-1,9,10,0,57,9,66,7.333333333333333
20,10,0.5186725859575307,0.7242563204293637,-1,7,10,0,70,6,76,10.857142857142858
21,10,0.5160218523060466,0.9444327749787904,1,8,10,0,118,3,121,15.125
22,10,0.5281043432653862,0.8834465370376816,-1,5,10,0,98,2,100,20.0
23,10,0.46987632319092554,0.6019948000703998,-1,3,10,0,23,3,26,8.666666666666666
24,10,0.553182565012821,0.8109202491336406,1,12,10,0,111,16,127,10.583333333333334
25,10,0.4306382012881375,0.6134971101200832,1,4,10,0,14,7,21,5.25
26,10,0.42315417630915414,0.9619706066303826,1,4,10,0,26,1,27,6.75
27,10,0.524513300600342,0.7238453555949937,1,16,10,0,86,20,106,6.625
28,10,0.5142088896352648,0.5575115406108165,-1,3,10,0,14,6,20,6.666666666666667
29,10,0.5599045817071667,0.7504111147442677,1,3,10,0,21,5,26,8.666666666666666
30,10,0.397615218584334,0.9113690610444967,-1,7,10,0,74,0,74,10.571428571428571
31,10,0.49237474989864055,0.6394828671187802,1,2,10,0,13,8,21,10.5
32,10,0.582755076688848,0.8866557769063818,-1,5,10,0,115,2,117,23.4
33,10,0.5451209006114599,0.8604451422484354,-1,7,10,0,108,2,110,15.714285714285714
34,10,0.4457474758058192,0.6594954001711824,1,2,10,0,9,6,15,7.5
35,10,0.6033924600811622,0.7748023928515656,-1,7,10,0,100,8,108,15.428571428571429
36,10,0.45241600727157805,0.8080784886747487,1,14,10,0,58,6,64,4.571428571428571
37,10,0.46955474303495126,0.9971896224716339,-1,8,10,0,102,0,102,12.75
38,10,0.39432539184288606,0.7407869194612569,-1,5,10,0,33,3,36,7.2
39,10,0.5685194071408761,0.7880090538035665,-1,9,10,0,98,8,106,11.777777777777779
40,10,0.45080255300403826,0.9656880872453678,-1,5,10,0,77,0,77,15.4
41,10,0.6858971760892041,0.6415345686732038,1,9,10,0,119,66,185,20.555555555555557
42,10,0.6420566667625273,0.9225103053527557,-1,5,10,0,123,1,124,24.8
43,10,0.5574009184678806,0.5532408612373533,1,6,10,0,18,21,39,6.5
44,10,0.49670881584416987,0.8838967133366453,-1,5,10,0,82,1,83,16.6
45,10,0.5980496573481249,0.8509023473147859,-1,6,10,0,114,6,120,20.0
46,10,0.4365683001290027,0.7757091942841441,-1,3,10,0,18,2,20,6.666666666666667
47,10,0.387132841745759,0.8335451494676929,-1,7,10,0,64,1,65,9.285714285714286
48,10,0.455299002008835,0.8477616187741428,-1,7,10,0,84,2,86,12.285714285714286
49,10,0.5507337360696046,0.5929632681178401,-1,2,10,0,10,7,17,8.5
50,10,0.5086384414116049,0.6152145624107295,1,4,10,0,30,20,50,12.5
51,10,0.5997245924234168,0.7577999969617129,1,10,10,0,119,31,150,15.0
52,10,0.49875585105756287,0.9558474457945776,1,9,10,0,122,3,125,13.88888888888889
53,10,0.4868881582600502,0.9696903835348625,-1,7,10,0,105,0,105,15.0
54,10,0.5713188402911908,0.8136950542703324,-1,7,10,0,113,8,121,17.285714285714285
55,10,0.4886690853934782,0.9293166093521705,-1,7,10,0,107,1,108,15.428571428571429
56,10,0.5590872262636977,0.84410273201005,-1,6,10,0,108,4,112,18.666666666666668
57,10,0.5722139887470072,0.6139022676137743,1,4,10,0,19,12,31,7.75
58,10,0.39913563988288225,0.8335401523649187,1,6,10,0,48,5,53,8.833333333333334
59,10,0.5674244974870666,0.5375473129062884,-1,7,10,0,60,24,84,12.0
60,10,0.5320892608991128,0.711807795723088,-1,8,10,0,71,7,78,9.75
61,10,0.5178696198267349,0.5270003690435515,1,3,10,0,11,12,23,7.666666666666667
62,10,0.54362264818525,0.5084835164434117,-1,3,10,0,13,6,19,6.333333333333333
63,10,0.46370760798456606,0.5498738486446189,1,3,10,0,6,9,15,5.0
64,10,0.5762411356437693,0.516161921175549,1,4,10,0,14,10,24,6.0
65,10,0.5382084714792515,0.6516203944974682,-1,6,10,0,66,16,82,13.666666666666666
66,10,0.5797121638236381,0.5550575810364815,1,4,10,0,9,12,21,5.25
67,10,0.5209103243941479,0.8558195429966795,-1,6,10,0,87,3,90,15.0
68,10,0.39581498187093284,0.6193739560631251,1,3,10,0,10,8,18,6.0
69,10,0.532041724673066,0.6334337268959758,-1,8,10,0,57,13,70,8.75
70,10,0.4369157106927233,0.7699611004376674,1,4,10,0,16,5,21,5.25
71,10,0.4586056473317427,0.9041153153569002,1,11,10,0,105,4,109,9.909090909090908
72,10,0.45185588255247383,0.8820137706375428,1,12,10,0,80,6,86,7.166666666666667
73,10,0.49917606291417815,0.8657705934333755,-1,6,10,0,81,2,83,13.833333333333334
74,10,0.5848010408875116,0.7645708369868824,1,7,10,0,111,20,131,18.714285714285715
