bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",10.0,0.520763263539173,0.5336989636373871,0.2,5.1,10.0,0.0,26.8,20.6,47.4,7.915151515151516
"(0.55, 0.6]",10.0,0.5509635371427647,0.5708463300097639,-0.2,5.3,10.0,0.0,35.8,17.1,52.9,9.277380952380952
"(0.6, 0.65]",10.0,0.5040226728157718,0.6225387731355126,0.0,5.785714285714286,10.0,0.0,39.642857142857146,13.142857142857142,52.785714285714285,8.873412698412698
"(0.65, 0.7]",10.0,0.5195950633010823,0.6616168266478427,-0.2,5.4,10.0,0.0,46.4,9.4,55.8,9.871666666666666
"(0.7, 0.75]",10.0,0.48890825854620756,0.726302353545843,-0.6,7.6,10.0,0.0,61.0,7.6,68.6,9.279325396825396
"(0.75, 0.8]",10.0,0.5359965411717664,0.7727372238134754,0.0,6.3,10.0,0.0,70.9,10.6,81.5,11.695039682539683
"(0.8, 0.85]",10.0,0.5027996410226442,0.8229936811648617,-0.3333333333333333,7.75,10.0,0.0,82.75,5.333333333333333,88.08333333333333,11.975198412698413
"(0.85, 0.9]",10.0,0.5072374125363334,0.8704876572282435,-0.42857142857142855,6.5,10.0,0.0,89.35714285714286,3.2142857142857144,92.57142857142857,14.815759637188208
"(0.9, 0.95]",10.0,0.49495374684160925,0.9203383728687802,-0.3333333333333333,7.0,10.0,0.0,101.88888888888889,1.6666666666666667,103.55555555555556,15.723629148629149
"(0.95, 1.0]",10.0,0.48586115422190296,0.9671660782974199,0.0,6.333333333333333,10.0,0.0,92.66666666666667,1.1666666666666667,93.83333333333333,14.864814814814816
