,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
0,10,0.5319227653598608,0.7641573927195728,-1,6,10,0,64,21,85,14.166666666666666
1,10,0.60039054356842,0.7827025761925699,1,8,10,0,116,33,149,18.625
2,10,0.4966255633425468,0.5909456083749596,-1,6,10,0,50,26,76,12.666666666666666
3,10,0.5175684431002204,0.6322806427056257,-1,7,10,0,76,31,107,15.285714285714286
4,10,0.4958444051811864,0.710720651453868,-1,5,10,0,63,22,85,17.0
5,10,0.46196811562748075,0.8197642269969335,1,5,10,0,43,4,47,9.4
6,10,0.40657815570083733,0.5558522415106686,1,8,10,0,36,24,60,7.5
7,10,0.6035118487644299,0.9134874799676406,1,7,10,0,118,9,127,18.142857142857142
8,10,0.4846785983330681,0.8649338546779839,-1,9,10,0,69,15,84,9.333333333333334
9,10,0.5316967438035748,0.6564903341320738,1,10,10,0,81,39,120,12.0
10,10,0.6120402698132554,0.7103106619659597,1,9,10,0,111,45,156,17.333333333333332
11,10,0.5160241794539848,0.5363418156605032,1,7,10,0,41,37,78,11.142857142857142
12,10,0.4633157899874554,0.6166738630544406,-1,6,10,0,45,22,67,11.166666666666666
13,10,0.44868396068875727,0.9899709758617884,1,8,10,0,82,0,82,10.25
14,10,0.4641579068283161,0.5412927191164218,1,7,10,0,37,27,64,9.142857142857142
15,10,0.48250329775056594,0.8626760641967829,-1,8,10,0,72,15,87,10.875
16,10,0.44558113266951177,0.6984485842250503,1,6,10,0,26,5,31,5.166666666666667
17,10,0.5119990067115521,0.7590384916634938,-1,8,10,0,79,22,101,12.625
18,10,0.4745282685263326,0.6630313657629215,1,8,10,0,36,16,52,6.5
19,10,0.3425623533666479,0.5300571343689465,-1,6,10,0,33,20,53,8.833333333333334
20,10,0.46289168737217506,0.531416697997902,-1,6,10,0,45,27,72,12.0
21,10,0.4539709163681417,0.9718421315602239,1,9,10,0,80,0,80,8.88888888888889
22,10,0.5866479816632165,0.7544304884274479,1,12,10,0,102,32,134,11.166666666666666
23,10,0.5627884123629494,0.9768602315510275,1,8,10,0,115,1,116,14.5
24,10,0.49584067099990947,0.5203653200157032,1,7,10,0,43,33,76,10.857142857142858
25,10,0.4640409701456944,0.7665486167844497,1,5,10,0,32,2,34,6.8
26,10,0.5791910575407654,0.8325941213558082,1,10,10,0,115,25,140,14.0
27,10,0.5858033614983441,0.7924679206010983,1,10,10,0,111,29,140,14.0
28,10,0.45192368118918896,0.6653870658890834,1,6,10,0,40,20,60,10.0
29,10,0.6025205140615786,0.9854499638057228,1,6,10,0,117,0,117,19.5
30,10,0.4601845604541508,0.6033120894424067,-1,5,10,0,44,24,68,13.6
31,10,0.3877068185890463,0.924224595196201,-1,6,10,0,49,4,53,8.833333333333334
32,10,0.5402789789649441,0.9973903266256828,-1,13,10,0,117,0,117,9.0
33,10,0.4366173115699792,0.9336292161493428,-1,6,10,0,64,4,68,11.333333333333334
34,10,0.6753423856739962,0.7564573348759566,-1,6,10,0,122,34,156,26.0
35,10,0.5132113194819694,0.5978396656896818,1,5,10,0,45,32,77,15.4
36,10,0.4599138698082577,0.7781789505166459,-1,5,10,0,59,18,77,15.4
37,10,0.45047224136095315,0.7550553666051927,-1,5,10,0,52,17,69,13.8
38,10,0.45316100040751384,0.6183232770957083,1,6,10,0,41,22,63,10.5
39,10,0.464342412744131,0.8031486500139937,-1,6,10,0,69,18,87,14.5
40,10,0.4350465952229195,0.6340850587697584,1,6,10,0,34,19,53,8.833333333333334
41,10,0.4351248144216068,0.5114975898326437,1,6,10,0,32,25,57,9.5
42,10,0.4479086956320604,0.8851101628340596,-1,7,10,0,76,14,90,12.857142857142858
43,10,0.5377001041837998,0.5303498835701761,-1,9,10,0,64,49,113,12.555555555555555
44,10,0.53306433472904,0.6472964175357904,1,10,10,0,89,45,134,13.4
45,10,0.4889066319898385,0.6464455016866266,1,6,10,0,44,26,70,11.666666666666666
46,10,0.4697838508062949,0.5871467040627087,-1,4,10,0,44,24,68,17.0
47,10,0.506291694154961,0.900251123724211,-1,8,10,0,93,14,107,13.375
48,10,0.4816422132852763,0.5671987744291527,1,7,10,0,42,30,72,10.285714285714286
49,10,0.5799354268102327,0.6895730276601546,1,10,10,0,102,45,147,14.7
50,10,0.5889617142056446,0.7877052974413632,-1,7,10,0,101,25,126,18.0
51,10,0.6014802785932559,0.5346638378634734,1,14,10,0,97,77,174,12.428571428571429
52,10,0.5203062058080037,0.7390123106351529,1,10,10,0,92,29,121,12.1
53,10,0.38377604517489394,0.8228169576368687,1,5,10,0,36,2,38,7.6
54,10,0.49709186997537114,0.8015986950911437,1,15,10,0,90,20,110,7.333333333333333
55,10,0.4961489006144001,0.8343983460657171,-1,6,10,0,74,18,92,15.333333333333334
56,10,0.5466473370738554,0.8196587786554468,-1,10,10,0,95,22,117,11.7
57,10,0.47566666480338804,0.6300852906402741,1,5,10,0,35,16,51,10.2
58,10,0.5124085574313818,0.6725557738207367,1,10,10,0,76,28,104,10.4
59,10,0.5060859422322382,0.7797867501198401,-1,8,10,0,82,22,104,13.0
60,10,0.5432464962974882,0.5558344169294998,-1,5,10,0,49,27,76,15.2
61,10,0.5396318808939179,0.6150382482327921,-1,8,10,0,68,33,101,12.625
62,10,0.5135836831506592,0.6633678439783555,-1,5,10,0,57,23,80,16.0
63,10,0.6142298497878668,0.5504475172190069,1,11,10,0,94,75,169,15.363636363636363
64,10,0.3105162018893257,0.6107134920802584,1,2,10,0,11,1,12,6.0
65,10,0.4327798517166744,0.8009704898963145,-1,5,10,0,44,15,59,11.8
66,10,0.5521127585976591,0.5603326592953276,1,16,10,0,84,62,146,9.125
67,10,0.5640265260291424,0.9611855819663457,1,9,10,0,114,3,117,13.0
68,10,0.6309154577342883,0.5332551812055479,1,9,10,0,109,86,195,21.666666666666668
69,10,0.5542456023742968,0.9880316153049725,1,8,10,0,117,0,117,14.625
70,10,0.5040710752776691,0.6167955403672682,-1,6,10,0,54,28,82,13.666666666666666
71,10,0.5532293715916641,0.865200321794334,-1,9,10,0,119,21,140,15.555555555555555
72,10,0.45884158572796435,0.6382815610242814,1,6,10,0,37,15,52,8.666666666666666
73,10,0.5708700691832476,0.8654534041921509,-1,9,10,0,116,21,137,15.222222222222221
