bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",10.0,0.4889576429970151,0.5241488048324735,0.23076923076923078,7.538461538461538,10.0,0.0,50.92307692307692,38.84615384615385,89.76923076923077,11.577533577533577
"(0.55, 0.6]",10.0,0.5039744162787965,0.5715358584641712,0.2,7.6,10.0,0.0,52.8,35.5,88.3,12.299935064935065
"(0.6, 0.65]",10.0,0.47671900599831674,0.6267136303722322,0.23076923076923078,6.461538461538462,10.0,0.0,51.30769230769231,25.076923076923077,76.38461538461539,11.361663336663337
"(0.65, 0.7]",10.0,0.5202530900934664,0.675074702902599,0.5555555555555556,8.555555555555555,10.0,0.0,69.88888888888889,30.333333333333332,100.22222222222223,11.817328042328041
"(0.7, 0.75]",10.0,0.5142528074542683,0.7208720118544244,0.5,7.5,10.0,0.0,76.0,26.75,102.75,13.649999999999999
"(0.75, 0.8]",10.0,0.5265161573449972,0.7723249187181568,0.058823529411764705,7.294117647058823,10.0,0.0,79.11764705882354,21.647058823529413,100.76470588235294,13.912418300653595
"(0.8, 0.85]",10.0,0.49167698927855336,0.8240480868302417,-0.3333333333333333,7.666666666666667,10.0,0.0,76.41666666666667,16.833333333333332,93.25,12.34589947089947
"(0.85, 0.9]",10.0,0.5079729607462589,0.8719221694142645,-1.0,7.875,10.0,0.0,90.375,16.625,107.0,13.658978174603174
"(0.9, 0.95]",10.0,0.46018385989046073,0.9165144952655965,-0.6,6.0,10.0,0.0,68.8,6.2,75.0,11.670238095238094
"(0.95, 1.0]",10.0,0.5393134640387285,0.979486059651814,0.7777777777777778,8.555555555555555,10.0,0.0,107.77777777777777,0.8888888888888888,108.66666666666667,13.236552028218695
