bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",10.0,0.5123068366286113,0.5221467930568232,0.09090909090909091,8.545454545454545,10.0,0.0,47.63636363636363,35.63636363636363,83.27272727272727,9.458069329660239
"(0.55, 0.6]",10.0,0.484557403657838,0.5689812805671918,-0.45454545454545453,5.7272727272727275,10.0,0.0,43.54545454545455,24.09090909090909,67.63636363636364,10.068434343434344
"(0.6, 0.65]",10.0,0.498769765441108,0.6190559179802524,-0.5,8.25,10.0,0.0,62.375,25.875,88.25,9.932873376623377
"(0.65, 0.7]",10.0,0.47449306895787835,0.6740987349380949,-0.42857142857142855,6.5,10.0,0.0,53.42857142857143,19.357142857142858,72.78571428571429,10.158534322820037
"(0.7, 0.75]",10.0,0.484250778111477,0.7259948885692706,-0.5,7.75,10.0,0.0,60.0,14.75,74.75,9.442948717948717
"(0.75, 0.8]",10.0,0.5526754524345131,0.7820536903571528,-0.6666666666666666,8.833333333333334,10.0,0.0,93.33333333333333,20.166666666666668,113.5,12.801515151515153
"(0.8, 0.85]",10.0,0.46995159978905887,0.833003181584178,-0.6666666666666666,7.166666666666667,10.0,0.0,62.166666666666664,6.666666666666667,68.83333333333333,9.66825396825397
"(0.85, 0.9]",10.0,0.5024103548644997,0.8787067738586544,-0.058823529411764705,7.117647058823529,10.0,0.0,75.11764705882354,5.764705882352941,80.88235294117646,11.202147525676938
"(0.9, 0.95]",10.0,0.48751313117291845,0.9266318873720625,-0.09090909090909091,5.636363636363637,10.0,0.0,72.63636363636364,3.3636363636363638,76.0,13.2995670995671
"(0.95, 1.0]",10.0,0.5052514265097662,0.9750151408313125,0.16666666666666666,6.916666666666667,10.0,0.0,85.58333333333333,1.4166666666666667,87.0,12.39996693121693
